metric,value
intent_reliance_min,0.0398
intent_reliance_max,0.6205
intent_reliance_range,0.5807
itemcorr_human_verbatim__para_blame10,0.2751
itemcorr_human_verbatim__para_wrong7,0.1876
itemcorr_human_verbatim__para_blame4,0.3238
itemcorr_human_verbatim__punish7,0.2052
itemcorr_human_verbatim__acceptable7,0.2623
itemcorr_human_verbatim__persona_adult7,0.3294
itemcorr_para_blame10__para_wrong7,0.6282
itemcorr_para_blame10__para_blame4,0.685
itemcorr_para_blame10__punish7,0.5184
itemcorr_para_blame10__acceptable7,-0.1667
itemcorr_para_blame10__persona_adult7,0.6754
itemcorr_para_wrong7__para_blame4,0.5298
itemcorr_para_wrong7__punish7,0.3994
itemcorr_para_wrong7__acceptable7,-0.3313
itemcorr_para_wrong7__persona_adult7,0.8963
itemcorr_para_blame4__punish7,0.6972
itemcorr_para_blame4__acceptable7,-0.0136
itemcorr_para_blame4__persona_adult7,0.5781
itemcorr_punish7__acceptable7,0.3056
itemcorr_punish7__persona_adult7,0.4509
itemcorr_acceptable7__persona_adult7,-0.2004
