layer,target,cv_acc,chance
0,intent,0.5001149425287357,0.5
0,outcome,0.6039080459770115,0.5167785234899329
1,intent,0.5873563218390804,0.5
1,outcome,0.892183908045977,0.5167785234899329
2,intent,0.6310344827586206,0.5
2,outcome,0.9394252873563218,0.5167785234899329
3,intent,0.6174712643678161,0.5
3,outcome,0.9628735632183908,0.5167785234899329
4,intent,0.5875862068965517,0.5
4,outcome,0.9597701149425287,0.5167785234899329
5,intent,0.6375862068965518,0.5
5,outcome,0.99,0.5167785234899329
6,intent,0.6173563218390805,0.5
6,outcome,0.9766666666666666,0.5167785234899329
7,intent,0.6272413793103448,0.5
7,outcome,0.9800000000000001,0.5167785234899329
8,intent,0.6139080459770115,0.5
8,outcome,0.9833333333333334,0.5167785234899329
9,intent,0.6208045977011494,0.5
9,outcome,0.9866666666666667,0.5167785234899329
10,intent,0.6240229885057471,0.5
10,outcome,0.9866666666666667,0.5167785234899329
11,intent,0.6305747126436781,0.5
11,outcome,0.9866666666666667,0.5167785234899329
12,intent,0.6712643678160919,0.5
12,outcome,0.99,0.5167785234899329
13,intent,0.6437931034482759,0.5
13,outcome,0.9866666666666667,0.5167785234899329
14,intent,0.660919540229885,0.5
14,outcome,0.99,0.5167785234899329
15,intent,0.6575862068965517,0.5
15,outcome,0.99,0.5167785234899329
16,intent,0.6577011494252873,0.5
16,outcome,0.99,0.5167785234899329
17,intent,0.6377011494252873,0.5
17,outcome,0.99,0.5167785234899329
18,intent,0.6305747126436783,0.5
18,outcome,0.9933333333333334,0.5167785234899329
19,intent,0.6443678160919539,0.5
19,outcome,0.9933333333333334,0.5167785234899329
20,intent,0.6545977011494253,0.5
20,outcome,0.9933333333333334,0.5167785234899329
21,intent,0.6308045977011494,0.5
21,outcome,0.9866666666666667,0.5167785234899329
22,intent,0.6342528735632185,0.5
22,outcome,0.99,0.5167785234899329
23,intent,0.6167816091954024,0.5
23,outcome,0.9933333333333334,0.5167785234899329
24,intent,0.6309195402298851,0.5
24,outcome,0.9866666666666667,0.5167785234899329
