layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5676,0.115,0.5,144,False
2,intent_noharm,0.52,0.0349,0.5,144,False
3,intent_noharm,0.5471,0.0765,0.5,144,False
4,intent_noharm,0.5833,0.0706,0.5,144,False
5,intent_noharm,0.591,0.0301,0.5,144,False
6,intent_noharm,0.6176,0.0631,0.5,144,False
7,intent_noharm,0.6438,0.0798,0.5,144,False
8,intent_noharm,0.6729,0.0402,0.5,144,False
9,intent_noharm,0.661,0.0511,0.5,144,False
10,intent_noharm,0.7352,0.0854,0.5,144,False
11,intent_noharm,0.7419,0.0528,0.5,144,False
12,intent_noharm,0.7352,0.0561,0.5,144,False
13,intent_noharm,0.7629,0.0392,0.5,144,False
14,intent_noharm,0.8538,0.0269,0.5,144,False
15,intent_noharm,0.819,0.0575,0.5,144,False
16,intent_noharm,0.8467,0.0586,0.5,144,False
17,intent_noharm,0.8743,0.0498,0.5,144,False
18,intent_noharm,0.9024,0.0516,0.5,144,False
19,intent_noharm,0.8738,0.1028,0.5,144,False
20,intent_noharm,0.8667,0.0999,0.5,144,False
21,intent_noharm,0.839,0.1176,0.5,144,False
22,intent_noharm,0.8248,0.1145,0.5,144,False
23,intent_noharm,0.8176,0.0909,0.5,144,False
24,intent_noharm,0.791,0.0943,0.5,144,False
25,intent_noharm,0.8052,0.1053,0.5,144,False
26,intent_noharm,0.8276,0.0897,0.5,144,False
27,intent_noharm,0.7714,0.0809,0.5,144,False
28,intent_noharm,0.8195,0.097,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.5317,0.0506,0.5,154,False
2,intent_harm,0.5437,0.0584,0.5,154,False
3,intent_harm,0.5513,0.0437,0.5,154,False
4,intent_harm,0.5771,0.0601,0.5,154,False
5,intent_harm,0.5958,0.0644,0.5,154,False
6,intent_harm,0.6433,0.069,0.5,154,False
7,intent_harm,0.6308,0.0593,0.5,154,False
8,intent_harm,0.6225,0.0687,0.5,154,False
9,intent_harm,0.5837,0.0313,0.5,154,False
10,intent_harm,0.6758,0.0291,0.5,154,False
11,intent_harm,0.6817,0.0248,0.5,154,False
12,intent_harm,0.6829,0.0434,0.5,154,False
13,intent_harm,0.6846,0.0908,0.5,154,False
14,intent_harm,0.7417,0.0582,0.5,154,False
15,intent_harm,0.8058,0.0624,0.5,154,False
16,intent_harm,0.8183,0.0593,0.5,154,False
17,intent_harm,0.8521,0.0695,0.5,154,False
18,intent_harm,0.8125,0.0445,0.5,154,False
19,intent_harm,0.7483,0.0772,0.5,154,False
20,intent_harm,0.7792,0.0322,0.5,154,False
21,intent_harm,0.7925,0.0599,0.5,154,False
22,intent_harm,0.7854,0.0667,0.5,154,False
23,intent_harm,0.74,0.0564,0.5,154,False
24,intent_harm,0.7087,0.0938,0.5,154,False
25,intent_harm,0.6808,0.0854,0.5,154,False
26,intent_harm,0.6896,0.0712,0.5,154,False
27,intent_harm,0.6425,0.0672,0.5,154,False
28,intent_harm,0.6296,0.0181,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8326,0.0864,0.5168,149,False
2,outcome_innocent,0.8933,0.0573,0.5168,149,False
3,outcome_innocent,0.92,0.0686,0.5168,149,False
4,outcome_innocent,0.98,0.0267,0.5168,149,False
5,outcome_innocent,0.9867,0.0163,0.5168,149,False
6,outcome_innocent,0.98,0.0267,0.5168,149,False
7,outcome_innocent,0.98,0.0267,0.5168,149,False
8,outcome_innocent,0.9933,0.0133,0.5168,149,False
9,outcome_innocent,0.9933,0.0133,0.5168,149,False
10,outcome_innocent,0.9933,0.0133,0.5168,149,False
11,outcome_innocent,0.9933,0.0133,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,0.9933,0.0133,0.5168,149,False
15,outcome_innocent,0.9933,0.0133,0.5168,149,False
16,outcome_innocent,1.0,0.0,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
18,outcome_innocent,0.9933,0.0133,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,0.9931,0.0138,0.5168,149,False
21,outcome_innocent,0.9931,0.0138,0.5168,149,False
