model,gemini-2_5-flash
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.1366
accidental,0.6558
attempted,0.6366
intentional,0.9156
model_intent_reliance_4cell,0.4876
model_intent_vs_outcome_contrast,-0.0193

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=3)
contrast_template_mean,-0.0256
contrast_template_sd,0.0189
contrast_template_min,-0.0513
contrast_template_max,-0.0063
contrast_template_range,0.045
  contrast[human_verbatim],-0.0193
  contrast[para_wrong7],-0.0063
  contrast[punish7],-0.0513
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.2512
profile_corr,0.8014
intent_reliance_4cell_diff,-0.3689
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.6853

vs child_4_5
rmse,0.1399
profile_corr,1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,0.1207

vs child_6_7
rmse,0.191
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.1693

vs child_8plus
rmse,0.3295
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.4793
