analysis,key,value
primary_all_models,sign_stable_only,False
primary_all_models,estimable,True
primary_all_models,n_obs,120
primary_all_models,n_models,20
primary_all_models,n_templates,6
primary_all_models,note_scale,"All factorial paraphrases are 1–7; scale factor has no within-factorial variance. Scale effects are assessed via legacy para_blame10 (1–10) / para_blame4 (1–4) separately. Scale replication (YS2008↔YS2009 human_verbatim): pooled r≈0.71, Bland–Altman bias ≈ −0.06 — see outputs/SCALE_REPLICATION.md. Not recomputed here."
primary_all_models,anova_typeII,"{'sum_sq': {'C(wording)': 0.0001, 'C(construct)': 0.0032, 'C(wording):C(construct)': 0.0244, 'Residual': 5.8806}, 'df': {'C(wording)': 1.0, 'C(construct)': 2.0, 'C(wording):C(construct)': 2.0, 'Residual': 114.0}, 'F': {'C(wording)': 0.0017, 'C(construct)': 0.0309, 'C(wording):C(construct)': 0.2369, 'Residual': nan}, 'PR(>F)': {'C(wording)': 0.9673, 'C(construct)': 0.9696, 'C(wording):C(construct)': 0.7894, 'Residual': nan}}"
primary_all_models,variance_share,"{'C(wording)': 0.0, 'C(construct)': 0.0005, 'C(wording):C(construct)': 0.0041, 'Residual': 0.9953}"
primary_all_models,mixedlm_converged,True
primary_all_models,mixedlm_params,"{'Intercept': -0.1926, 'C(wording)[T.2]': -0.0312, 'C(construct)[T.punishment]': -0.0052, 'C(construct)[T.wrongness]': -0.0417, 'C(wording)[T.2]:C(construct)[T.punishment]': 0.0203, 'C(wording)[T.2]:C(construct)[T.wrongness]': 0.0681, 'Group Var': 1.0}"
primary_all_models,mixedlm_template_var,0.051584
primary_all_models,mixedlm_resid_var,0.051584
sensitivity_sign_stable_only,sign_stable_only,True
sensitivity_sign_stable_only,estimable,True
sensitivity_sign_stable_only,n_obs,90
sensitivity_sign_stable_only,n_models,15
sensitivity_sign_stable_only,n_templates,6
sensitivity_sign_stable_only,note_scale,"All factorial paraphrases are 1–7; scale factor has no within-factorial variance. Scale effects are assessed via legacy para_blame10 (1–10) / para_blame4 (1–4) separately. Scale replication (YS2008↔YS2009 human_verbatim): pooled r≈0.71, Bland–Altman bias ≈ −0.06 — see outputs/SCALE_REPLICATION.md. Not recomputed here."
sensitivity_sign_stable_only,anova_typeII,"{'sum_sq': {'C(wording)': 0.0002, 'C(construct)': 0.0049, 'C(wording):C(construct)': 0.0309, 'Residual': 4.1035}, 'df': {'C(wording)': 1.0, 'C(construct)': 2.0, 'C(wording):C(construct)': 2.0, 'Residual': 84.0}, 'F': {'C(wording)': 0.0048, 'C(construct)': 0.05, 'C(wording):C(construct)': 0.3159, 'Residual': nan}, 'PR(>F)': {'C(wording)': 0.9449, 'C(construct)': 0.9513, 'C(wording):C(construct)': 0.73, 'Residual': nan}}"
sensitivity_sign_stable_only,variance_share,"{'C(wording)': 0.0001, 'C(construct)': 0.0012, 'C(wording):C(construct)': 0.0075, 'Residual': 0.9913}"
sensitivity_sign_stable_only,mixedlm_converged,True
sensitivity_sign_stable_only,mixedlm_params,"{'Intercept': -0.2572, 'C(wording)[T.2]': -0.0408, 'C(construct)[T.punishment]': -0.0059, 'C(construct)[T.wrongness]': -0.0553, 'C(wording)[T.2]:C(construct)[T.punishment]': 0.0247, 'C(wording)[T.2]:C(construct)[T.wrongness]': 0.0879, 'Group Var': 1.0}"
sensitivity_sign_stable_only,mixedlm_template_var,0.048851
sensitivity_sign_stable_only,mixedlm_resid_var,0.048851
