group,condition,raw_value,scale_min,scale_max,direction,norm_blame,source,notes
adult,neutral,3.9,1,4,permissible,0.033,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor as human_reference_digitized.csv; unchanged (no punishment adult series)"
adult,accidental,3.2,1,4,permissible,0.267,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,attempted,1.2,1,4,permissible,0.933,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,intentional,1.1,1,4,permissible,0.967,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
child_4_5,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"NOT MEASURED — leave blank"
child_4_5,accidental,0.590,0,1,blame,0.590,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age-pair average of ages 4-5 accidental Punish, presented-first; contrast vs attempted = +0.09"
child_4_5,attempted,0.680,0,1,blame,0.680,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age-pair average of ages 4-5 attempted Punish, presented-first"
child_4_5,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_6_7,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_6_7,accidental,0.415,0,1,blame,0.415,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age-pair average of ages 6-7 accidental Punish, presented-first; contrast = +0.12"
child_6_7,attempted,0.535,0,1,blame,0.535,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age-pair average of ages 6-7 attempted Punish, presented-first"
child_6_7,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_8plus,neutral,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
child_8plus,accidental,0.220,0,1,blame,0.220,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age 8+ accidental Punish, presented-first; contrast = +0.19"
child_8plus,attempted,0.410,0,1,blame,0.410,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3 Punish presented-first,"age 8+ attempted Punish, presented-first"
child_8plus,intentional,,0,1,blame,,Cushman Sheketoff Wharton & Carey 2013 Cognition Fig.3,"NOT MEASURED"
