model,Qwen_Qwen2_5-14B
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.2358
accidental,0.2761
attempted,0.2461
intentional,0.2737
model_intent_reliance_4cell,0.1044
model_intent_vs_outcome_contrast,-0.03

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,-0.0412
contrast_template_sd,0.0409
contrast_template_min,-0.1317
contrast_template_max,0.0025
contrast_template_range,0.1341
  contrast[acceptable7],-0.0167
  contrast[human_verbatim],-0.03
  contrast[para_blame10],-0.0204
  contrast[para_blame4],0.0025
  contrast[para_wrong7],-0.1317
  contrast[persona_adult7],-0.0322
  contrast[punish7],-0.0601
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.4984
profile_corr,0.2939
intent_reliance_4cell_diff,-0.7521
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.696

vs child_4_5
rmse,0.3417
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.24
contrast_diff_model_minus_human,-0.27

vs child_6_7
rmse,0.3254
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.5
contrast_diff_model_minus_human,-0.53

vs child_8plus
rmse,0.3491
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.63
contrast_diff_model_minus_human,-0.66
