template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.9732,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.4685,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.9428,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.296,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.9997,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.478,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.8424,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.0057,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.9997,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.0478,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.9996,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.0,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.9996,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.6526,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,1.0,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.3134,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.9996,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.1193,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.9963,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3333,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.9999,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.4432,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.9995,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.2276,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.9997,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.4316,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,1.0,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.35,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,1.0,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5169,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,1.0,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.0,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.5214,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.0,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.3021,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.9999,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.6402,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.9998,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.2356,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.9705,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.6376,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.9903,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.0068,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.9998,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.7608,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.9999,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.1267,1
