layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5675,0.5,False
1,outcome,0.565,0.5,False
2,intent,0.57,0.5,False
2,outcome,0.485,0.5,False
3,intent,0.5825,0.5,False
3,outcome,0.5475,0.5,False
4,intent,0.695,0.5,False
4,outcome,0.5975,0.5,False
5,intent,0.8275,0.5,False
5,outcome,0.6375,0.5,False
6,intent,0.78,0.5,False
6,outcome,0.6825,0.5,False
7,intent,0.865,0.5,False
7,outcome,0.6175,0.5,False
8,intent,0.895,0.5,False
8,outcome,0.665,0.5,False
9,intent,0.8825,0.5,False
9,outcome,0.7325,0.5,False
10,intent,0.94,0.5,False
10,outcome,0.72,0.5,False
11,intent,0.9475,0.5,False
11,outcome,0.74,0.5,False
12,intent,0.8975,0.5,False
12,outcome,0.7775,0.5,False
13,intent,0.9475,0.5,False
13,outcome,0.8025,0.5,False
14,intent,0.925,0.5,False
14,outcome,0.775,0.5,False
15,intent,0.945,0.5,False
15,outcome,0.7825,0.5,False
16,intent,0.955,0.5,False
16,outcome,0.8175,0.5,False
17,intent,0.955,0.5,False
17,outcome,0.83,0.5,False
18,intent,0.9675,0.5,False
18,outcome,0.785,0.5,False
19,intent,0.9775,0.5,False
19,outcome,0.8275,0.5,False
20,intent,0.9575,0.5,False
20,outcome,0.825,0.5,False
21,intent,0.9575,0.5,False
21,outcome,0.795,0.5,False
22,intent,0.945,0.5,False
22,outcome,0.7525,0.5,False
23,intent,0.925,0.5,False
23,outcome,0.7275,0.5,False
24,intent,0.9125,0.5,False
24,outcome,0.7475,0.5,False
25,intent,0.89,0.5,False
25,outcome,0.715,0.5,False
26,intent,0.87,0.5,False
26,outcome,0.7325,0.5,False
27,intent,0.87,0.5,False
27,outcome,0.7125,0.5,False
28,intent,0.8625,0.5,False
28,outcome,0.6925,0.5,False
