model,study,size_B,type,b0_neutral,b_intent,b_outcome,b_interaction,b_intent_lo,b_intent_hi,b_outcome_lo,b_outcome_hi,b_interaction_lo,b_interaction_hi,p_intent,p_outcome,p_interaction
HUMAN adult,reference,,human,0.033,0.9,0.234,-0.2,,,,,,,,,
gemini-2-5-flash,cloud API,32.0,instruct,0.1242,0.4923,0.5179,-0.2217,0.4302,0.5523,0.4376,0.5909,-0.302,-0.1406,0.0,0.0,0.0
claude-sonnet-4-6,cloud API,175.0,instruct,0.0363,0.4097,0.3959,-0.0468,0.3501,0.4697,0.3313,0.4587,-0.1131,0.0238,0.0,0.0,0.1682
claude-opus-4-6,cloud API,500.0,instruct,0.0417,0.3881,0.278,0.0743,0.325,0.4557,0.2206,0.3303,0.0115,0.1346,0.0,0.0,0.0142
gpt-4o-mini,cloud API,8.0,instruct,0.2662,0.2431,0.5267,-0.2301,0.1948,0.2903,0.4762,0.5796,-0.278,-0.1832,0.0,0.0,0.0
Qwen2.5-14B-Instruct,local open-weight,14.0,instruct,0.1062,0.2274,0.6074,-0.2179,0.1879,0.2652,0.5616,0.6507,-0.262,-0.1744,0.0,0.0,0.0
claude-haiku-4-5,cloud API,20.0,instruct,0.2045,0.2199,0.3568,-0.1189,0.1651,0.2731,0.2942,0.4206,-0.1838,-0.0486,0.0,0.0,0.0004
gemini-2-5-pro,cloud API,600.0,instruct,0.2662,0.2176,0.2143,-0.1707,0.1782,0.2574,0.1724,0.2563,-0.2179,-0.1199,0.0,0.0,0.0
gpt-4o,cloud API,200.0,instruct,0.0779,0.2176,0.5822,-0.1389,0.169,0.2696,0.5322,0.6302,-0.1959,-0.0784,0.0,0.0,0.0
Qwen2.5-7B-Instruct,local open-weight,7.0,instruct,0.2141,0.1909,0.5236,-0.2264,0.1564,0.2255,0.4757,0.5723,-0.2632,-0.1896,0.0,0.0,0.0
Qwen2.5-3B-Instruct,local open-weight,3.0,instruct,0.3988,0.184,0.4315,-0.1922,0.1417,0.2319,0.3713,0.4907,-0.2406,-0.1452,0.0,0.0,0.0
Qwen2.5-1.5B-Instruct,local open-weight,1.5,instruct,0.4432,0.0744,0.1957,-0.0701,0.0606,0.0886,0.1699,0.2183,-0.0844,-0.0567,0.0,0.0,0.0027
Qwen2.5-14B,local open-weight,14.0,base,0.2879,0.0465,0.1354,-0.051,0.0371,0.0565,0.1202,0.1498,-0.0614,-0.041,0.0001,0.0,0.0026
Llama-3.1-8B,local open-weight,8.0,base,0.3748,0.012,0.0347,-0.0128,0.0084,0.0156,0.027,0.042,-0.0174,-0.0082,0.0304,0.0,0.0977
Qwen2.5-7B,local open-weight,7.0,base,0.4116,0.01,-0.0078,-0.0125,0.0063,0.0137,-0.0181,0.0031,-0.0167,-0.0081,0.45,0.3503,0.4964
Qwen2.5-0.5B-Instruct,local open-weight,0.5,instruct,0.214,0.0093,0.0488,-0.0073,0.0064,0.0123,0.0423,0.0557,-0.011,-0.0029,0.5308,0.0009,0.7219
OLMo-2-1124-7B,local open-weight,7.0,base,0.22,0.0086,0.0219,-0.0073,0.0051,0.012,0.0123,0.0322,-0.0116,-0.0033,0.0771,0.0,0.2783
Qwen2.5-1.5B,local open-weight,1.5,base,0.3672,0.0009,-0.0096,-0.0017,0.0,0.0019,-0.0139,-0.0057,-0.0029,-0.0005,0.9494,0.7022,0.9358
Mistral-7B-Instruct-v0-3,local open-weight,7.0,instruct,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005,1.0
Mistral-7B-v0-3,local open-weight,7.0,base,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005,1.0
Qwen2.5-0.5B,local open-weight,0.5,base,0.3582,-0.0008,-0.0025,0.001,-0.0018,0.0001,-0.0064,0.0012,-0.0003,0.0022,0.9496,0.985,0.9552
Qwen2.5-3B,local open-weight,3.0,base,0.4181,-0.0017,-0.0048,-0.001,-0.0045,0.0009,-0.0157,0.0053,-0.0045,0.0025,0.8127,0.4454,0.9245
