layer,target,cv_acc,chance
0,intent,0.7581609195402298,0.5
0,outcome,0.8926436781609194,0.5167785234899329
1,intent,0.7348275862068966,0.5
1,outcome,0.8958620689655172,0.5167785234899329
2,intent,0.7316091954022989,0.5
2,outcome,0.8925287356321838,0.5167785234899329
3,intent,0.7249425287356323,0.5
3,outcome,0.8824137931034481,0.5167785234899329
4,intent,0.7383908045977012,0.5
4,outcome,0.8957471264367817,0.5167785234899329
5,intent,0.7650574712643678,0.5
5,outcome,0.9157471264367816,0.5167785234899329
6,intent,0.7652873563218391,0.5
6,outcome,0.9258620689655173,0.5167785234899329
7,intent,0.7649425287356321,0.5
7,outcome,0.9493103448275862,0.5167785234899329
8,intent,0.7544827586206896,0.5
8,outcome,0.9390804597701148,0.5167785234899329
9,intent,0.7644827586206896,0.5
9,outcome,0.9324137931034482,0.5167785234899329
10,intent,0.7747126436781608,0.5
10,outcome,0.9226436781609195,0.5167785234899329
11,intent,0.8013793103448276,0.5
11,outcome,0.9395402298850575,0.5167785234899329
12,intent,0.8085057471264367,0.5
12,outcome,0.9729885057471265,0.5167785234899329
13,intent,0.8381609195402298,0.5
13,outcome,0.9695402298850574,0.5167785234899329
14,intent,0.8413793103448276,0.5
14,outcome,0.9628735632183908,0.5167785234899329
15,intent,0.8886206896551725,0.5
15,outcome,0.9696551724137932,0.5167785234899329
16,intent,0.872183908045977,0.5
16,outcome,0.9763218390804598,0.5167785234899329
17,intent,0.912528735632184,0.5
17,outcome,0.9831034482758622,0.5167785234899329
18,intent,0.9157471264367816,0.5
18,outcome,0.9763218390804598,0.5167785234899329
19,intent,0.8922988505747128,0.5
19,outcome,0.9629885057471265,0.5167785234899329
20,intent,0.8689655172413794,0.5
20,outcome,0.9696551724137932,0.5167785234899329
21,intent,0.8789655172413793,0.5
21,outcome,0.9662068965517241,0.5167785234899329
22,intent,0.8451724137931034,0.5
22,outcome,0.9391954022988506,0.5167785234899329
23,intent,0.8319540229885056,0.5
23,outcome,0.9390804597701148,0.5167785234899329
24,intent,0.8418390804597701,0.5
24,outcome,0.9224137931034482,0.5167785234899329
25,intent,0.8218390804597702,0.5
25,outcome,0.9290804597701149,0.5167785234899329
26,intent,0.8083908045977012,0.5
26,outcome,0.9190804597701149,0.5167785234899329
27,intent,0.8217241379310345,0.5
27,outcome,0.909080459770115,0.5167785234899329
28,intent,0.7477011494252874,0.5
28,outcome,0.8822988505747127,0.5167785234899329
