layer,target,cv_acc,chance
0,intent,0.5604597701149425,0.5
0,outcome,0.784712643678161,0.5167785234899329
1,intent,0.5667816091954022,0.5
1,outcome,0.7185057471264368,0.5167785234899329
2,intent,0.5905747126436782,0.5
2,outcome,0.7118390804597702,0.5167785234899329
3,intent,0.5703448275862069,0.5
3,outcome,0.7217241379310344,0.5167785234899329
4,intent,0.5702298850574712,0.5
4,outcome,0.7789655172413793,0.5167785234899329
5,intent,0.593793103448276,0.5
5,outcome,0.7717241379310344,0.5167785234899329
6,intent,0.5668965517241379,0.5
6,outcome,0.7918390804597701,0.5167785234899329
7,intent,0.5870114942528735,0.5
7,outcome,0.8052873563218391,0.5167785234899329
8,intent,0.5936781609195403,0.5
8,outcome,0.8287356321839081,0.5167785234899329
9,intent,0.5771264367816092,0.5
9,outcome,0.8626436781609195,0.5167785234899329
10,intent,0.6337931034482759,0.5
10,outcome,0.9159770114942528,0.5167785234899329
11,intent,0.5833333333333333,0.5
11,outcome,0.8589655172413794,0.5167785234899329
12,intent,0.5905747126436782,0.5
12,outcome,0.8488505747126437,0.5167785234899329
13,intent,0.6413793103448275,0.5
13,outcome,0.8755172413793103,0.5167785234899329
14,intent,0.6814942528735631,0.5
14,outcome,0.9127586206896552,0.5167785234899329
15,intent,0.6950574712643679,0.5
15,outcome,0.9128735632183907,0.5167785234899329
16,intent,0.6777011494252874,0.5
16,outcome,0.9063218390804597,0.5167785234899329
17,intent,0.7125287356321839,0.5
17,outcome,0.9097701149425287,0.5167785234899329
18,intent,0.7252873563218392,0.5
18,outcome,0.889080459770115,0.5167785234899329
19,intent,0.6914942528735633,0.5
19,outcome,0.8789655172413793,0.5167785234899329
20,intent,0.7121839080459769,0.5
20,outcome,0.8690804597701149,0.5167785234899329
21,intent,0.6179310344827587,0.5
21,outcome,0.8556321839080461,0.5167785234899329
22,intent,0.6209195402298852,0.5
22,outcome,0.7822988505747126,0.5167785234899329
23,intent,0.6044827586206896,0.5
23,outcome,0.8060919540229886,0.5167785234899329
24,intent,0.601264367816092,0.5
24,outcome,0.759080459770115,0.5167785234899329
25,intent,0.6042528735632186,0.5
25,outcome,0.7694252873563218,0.5167785234899329
26,intent,0.6044827586206897,0.5
26,outcome,0.7695402298850574,0.5167785234899329
27,intent,0.5844827586206897,0.5
27,outcome,0.7455172413793103,0.5167785234899329
28,intent,0.6079310344827586,0.5
28,outcome,0.7793103448275862,0.5167785234899329
