model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.2019,0.3991
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.1304,0.4348
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.1291,0.4355
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.1255,0.4372
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,2.5051,0.2474
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.9854,0.5073
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.4196,0.2902
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.9693,0.5154
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.3061,0.347
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.99,0.505
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.1435,0.4283
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,2.0051,0.4974
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.3133,0.3433
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,2.0219,0.4891
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,2.2362,0.3819
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,2.0712,0.4644
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.9944,0.5028
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.1612,0.4194
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.0275,0.4862
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.217,0.3915
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.487,0.2565
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.8623,0.5688
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.4496,0.2752
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.9034,0.5483
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,2.1747,0.4127
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.9272,0.5364
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.8932,0.5534
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,2.0536,0.4732
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,2.2537,0.3732
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.9197,0.5402
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,2.241,0.3795
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.9754,0.5123
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.3155,0.3422
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.039,0.4805
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.2429,0.3785
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.0796,0.4602
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,2.2595,0.3702
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,2.0309,0.4846
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,2.1226,0.4387
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,2.1882,0.4059
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,2.4713,0.2644
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,2.0583,0.4708
