model,Qwen_Qwen2_5-14B-Instruct
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.1384
accidental,0.5578
attempted,0.3277
intentional,0.6282
model_intent_reliance_4cell,0.2651
model_intent_vs_outcome_contrast,-0.2301

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,-0.2755
contrast_template_sd,0.0588
contrast_template_min,-0.3607
contrast_template_max,-0.17
contrast_template_range,0.1907
  contrast[acceptable7],-0.2786
  contrast[human_verbatim],-0.2301
  contrast[para_blame10],-0.17
  contrast[para_blame4],-0.3344
  contrast[para_wrong7],-0.3607
  contrast[persona_adult7],-0.2893
  contrast[punish7],-0.2655
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.3797
profile_corr,0.4995
intent_reliance_4cell_diff,-0.5914
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.8961

vs child_4_5
rmse,0.0894
profile_corr,1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,-0.0901

vs child_6_7
rmse,0.1928
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.3801

vs child_8plus
rmse,0.3458
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.6901
