template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
human_verbatim,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.3991,1
human_verbatim,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.4348,1
human_verbatim,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.4355,1
human_verbatim,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.4372,1
human_verbatim,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.2474,1
human_verbatim,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.5073,1
human_verbatim,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.2902,1
human_verbatim,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.5154,1
human_verbatim,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.347,1
human_verbatim,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.505,1
human_verbatim,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.4283,1
human_verbatim,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.4974,1
human_verbatim,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.3433,1
human_verbatim,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.4891,1
human_verbatim,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.3819,1
human_verbatim,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.4644,1
human_verbatim,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.5028,1
human_verbatim,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.4194,1
human_verbatim,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.4862,1
human_verbatim,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.3915,1
human_verbatim,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.2565,1
human_verbatim,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.5688,1
human_verbatim,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.2752,1
human_verbatim,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.5483,1
human_verbatim,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.4127,1
human_verbatim,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.5364,1
human_verbatim,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.5534,1
