layer,target,cv_acc,chance
0,intent,0.5535632183908046,0.5
0,outcome,0.7916091954022988,0.5167785234899329
1,intent,0.5667816091954023,0.5
1,outcome,0.7185057471264368,0.5167785234899329
2,intent,0.5906896551724138,0.5
2,outcome,0.7183908045977011,0.5167785234899329
3,intent,0.5736781609195403,0.5
3,outcome,0.7454022988505747,0.5167785234899329
4,intent,0.5803448275862071,0.5
4,outcome,0.782528735632184,0.5167785234899329
5,intent,0.607816091954023,0.5
5,outcome,0.7950574712643677,0.5167785234899329
6,intent,0.5804597701149425,0.5
6,outcome,0.7885057471264368,0.5167785234899329
7,intent,0.5973563218390805,0.5
7,outcome,0.8219540229885058,0.5167785234899329
8,intent,0.5836781609195402,0.5
8,outcome,0.8220689655172414,0.5167785234899329
9,intent,0.5771264367816092,0.5
9,outcome,0.8424137931034483,0.5167785234899329
10,intent,0.6537931034482759,0.5
10,outcome,0.9026436781609195,0.5167785234899329
11,intent,0.583448275862069,0.5
11,outcome,0.8583908045977011,0.5167785234899329
12,intent,0.5972413793103447,0.5
12,outcome,0.8319540229885056,0.5167785234899329
13,intent,0.6277011494252873,0.5
13,outcome,0.855287356321839,0.5167785234899329
14,intent,0.6548275862068966,0.5
14,outcome,0.8926436781609194,0.5167785234899329
15,intent,0.6648275862068965,0.5
15,outcome,0.8962068965517241,0.5167785234899329
16,intent,0.6477011494252872,0.5
16,outcome,0.8859770114942529,0.5167785234899329
17,intent,0.665632183908046,0.5
17,outcome,0.899655172413793,0.5167785234899329
18,intent,0.7120689655172414,0.5
18,outcome,0.8857471264367817,0.5167785234899329
19,intent,0.668735632183908,0.5
19,outcome,0.8796551724137931,0.5167785234899329
20,intent,0.7259770114942529,0.5
20,outcome,0.8693103448275863,0.5167785234899329
21,intent,0.6686206896551724,0.5
21,outcome,0.8421839080459771,0.5167785234899329
22,intent,0.6408045977011494,0.5
22,outcome,0.8158620689655173,0.5167785234899329
23,intent,0.607816091954023,0.5
23,outcome,0.7824137931034482,0.5167785234899329
24,intent,0.5943678160919541,0.5
24,outcome,0.7521839080459769,0.5167785234899329
25,intent,0.5908045977011495,0.5
25,outcome,0.7488505747126437,0.5167785234899329
26,intent,0.5810344827586207,0.5
26,outcome,0.7493103448275862,0.5167785234899329
27,intent,0.5735632183908046,0.5
27,outcome,0.7420689655172413,0.5167785234899329
28,intent,0.5841379310344827,0.5
28,outcome,0.7689655172413794,0.5167785234899329
