model,intent_reliance_index,intent_reliance_sd,n_templates,n_templates_total,b_intent_mean,b_outcome_mean,degenerate
allenai/Llama-3_1-Tulu-3-8B,0.1232,0.0336,11,11,0.0629,0.4342,False
allenai/OLMo-2-1124-7B,,,0,11,,,True
allenai/OLMo-2-1124-7B-Instruct,0.063,0.049,11,11,0.0377,0.6595,False
HuggingFaceH4/zephyr-7b-beta,0.0814,0.0558,10,10,0.0479,0.5854,False
mistralai/Mistral-7B-Instruct-v0_3,0.0941,0.0597,10,10,0.0561,0.518,False
mistralai/Mistral-7B-v0_3,,,0,10,,,True
Qwen/Qwen2_5-0_5B,,,0,11,,,True
Qwen/Qwen2_5-0_5B-Instruct,0.0361,0.0222,4,11,-0.001,0.094,False
Qwen/Qwen2_5-1_5B,,,0,11,,,True
Qwen/Qwen2_5-1_5B-Instruct,0.0666,0.0484,10,11,0.0122,0.1921,False
Qwen/Qwen2_5-14B,0.0561,0.0332,10,11,-0.0012,0.1229,False
Qwen/Qwen2_5-14B-Instruct,0.186,0.0796,11,11,0.1078,0.4718,False
Qwen/Qwen2_5-3B,0.0634,0.057,5,11,-0.0023,0.0735,False
Qwen/Qwen2_5-3B-Instruct,0.1127,0.0903,11,11,0.0132,0.2703,False
Qwen/Qwen2_5-7B,0.0517,0.0467,6,11,-0.0018,0.0702,False
Qwen/Qwen2_5-7B-Instruct,0.1225,0.0545,11,11,0.0414,0.2954,False
unsloth/gemma-2-9b,,,0,11,,,True
unsloth/gemma-2-9b-it,0.173,0.0859,11,11,0.1134,0.4996,False
unsloth/Meta-Llama-3_1-8B,,,0,11,,,True
unsloth/Meta-Llama-3_1-8B-Instruct,0.1865,0.0336,11,11,0.061,0.2579,False
