layer,target,cv_acc,chance,degenerate
0,intent,0.5639,0.5,False
0,outcome,0.8229,0.5168,False
1,intent,0.5837,0.5,False
1,outcome,0.7757,0.5168,False
2,intent,0.5737,0.5,False
2,outcome,0.7591,0.5168,False
3,intent,0.5605,0.5,False
3,outcome,0.7653,0.5168,False
4,intent,0.6108,0.5,False
4,outcome,0.8022,0.5168,False
5,intent,0.6513,0.5,False
5,outcome,0.8385,0.5168,False
6,intent,0.6277,0.5,False
6,outcome,0.8657,0.5168,False
7,intent,0.6344,0.5,False
7,outcome,0.8825,0.5168,False
8,intent,0.6378,0.5,False
8,outcome,0.8794,0.5168,False
9,intent,0.6543,0.5,False
9,outcome,0.8655,0.5168,False
10,intent,0.6713,0.5,False
10,outcome,0.8726,0.5168,False
11,intent,0.6177,0.5,False
11,outcome,0.8624,0.5168,False
12,intent,0.6479,0.5,False
12,outcome,0.9098,0.5168,False
13,intent,0.7113,0.5,False
13,outcome,0.9432,0.5168,False
14,intent,0.6848,0.5,False
14,outcome,0.9232,0.5168,False
15,intent,0.7682,0.5,False
15,outcome,0.9264,0.5168,False
16,intent,0.7923,0.5,False
16,outcome,0.9667,0.5168,False
17,intent,0.8387,0.5,False
17,outcome,0.9567,0.5168,False
18,intent,0.8459,0.5,False
18,outcome,0.98,0.5168,False
19,intent,0.8223,0.5,False
19,outcome,0.9767,0.5168,False
20,intent,0.7687,0.5,False
20,outcome,0.94,0.5168,False
21,intent,0.7756,0.5,False
21,outcome,0.9233,0.5168,False
22,intent,0.7152,0.5,False
22,outcome,0.9067,0.5168,False
23,intent,0.7117,0.5,False
23,outcome,0.8932,0.5168,False
24,intent,0.6409,0.5,False
24,outcome,0.8328,0.5168,False
25,intent,0.6545,0.5,False
25,outcome,0.8129,0.5168,False
26,intent,0.6746,0.5,False
26,outcome,0.8129,0.5168,False
27,intent,0.6713,0.5,False
27,outcome,0.8059,0.5168,False
28,intent,0.6172,0.5,False
28,outcome,0.7823,0.5168,False
