metric,value
intent_reliance_max,0.9226
intent_reliance_min,0.226
intent_reliance_range,0.6966
iri_diff_human_verbatim__acceptable7,-0.0859
iri_diff_human_verbatim__blame_w1,-0.2024
iri_diff_human_verbatim__blame_w2,0.2288
iri_diff_human_verbatim__para_blame10,0.3604
iri_diff_human_verbatim__para_blame4,-0.069
iri_diff_human_verbatim__persona_adult7,-0.1027
iri_diff_human_verbatim__punish_w1,0.0213
iri_diff_human_verbatim__punish_w2,0.3662
iri_diff_human_verbatim__wrong_w1,0.1245
iri_diff_human_verbatim__wrong_w2,-0.3304
