model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.0,0.5
claude-3-5-haiku-20241022,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.0,0.5
