model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.3703,0.1852
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4369,0.2185
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.3452,0.1726
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4288,0.2144
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.4537,0.2268
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.5137,0.2569
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.4698,0.2349
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.5301,0.2651
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.5713,0.2857
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.5498,0.2749
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.5794,0.2897
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.5569,0.2785
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.381,0.1905
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.7009,0.3505
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.4323,0.2162
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.7536,0.3768
allenai/OLMo-2-1124-7B,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.6132,0.3066
