pooling,model,intent_gap,outcome_gap,intent_minus_outcome,larger
belief_last,OLMo-2-1124-7B,0.3787,0.1452,0.2335,intent
belief_last,OLMo-2-1124-7B-Instruct,0.3891,0.1693,0.2198,intent
belief_last,Qwen2.5-0.5B,0.3063,0.0383,0.268,intent
belief_last,Qwen2.5-0.5B-Instruct,0.3097,0.0383,0.2714,intent
belief_last,Qwen2.5-1.5B,0.3546,0.0555,0.2991,intent
belief_last,Qwen2.5-1.5B-Instruct,0.358,0.1004,0.2576,intent
belief_last,Qwen2.5-7B,0.3718,0.1176,0.2542,intent
belief_last,Qwen2.5-7B-Instruct,0.3718,0.1107,0.2611,intent
action_last,OLMo-2-1124-7B,0.3166,0.0693,0.2473,intent
action_last,OLMo-2-1124-7B-Instruct,0.3097,0.1073,0.2024,intent
action_last,Qwen2.5-0.5B,0.0822,-0.0548,0.137,intent
action_last,Qwen2.5-0.5B-Instruct,0.1132,-0.11,0.2232,intent
action_last,Qwen2.5-1.5B,0.1649,-0.0134,0.1783,intent
action_last,Qwen2.5-1.5B-Instruct,0.2063,0.0349,0.1714,intent
action_last,Qwen2.5-7B,0.2994,0.0142,0.2852,intent
action_last,Qwen2.5-7B-Instruct,0.3304,0.028,0.3024,intent
mean,OLMo-2-1124-7B,0.2726,0.2185,0.0541,intent
mean,OLMo-2-1124-7B-Instruct,0.2757,0.2419,0.0338,intent
mean,Qwen2.5-0.5B,0.0606,0.1884,-0.1278,outcome
mean,Qwen2.5-0.5B-Instruct,0.0669,0.1918,-0.1249,outcome
mean,Qwen2.5-1.5B,0.1256,0.1682,-0.0426,outcome
mean,Qwen2.5-1.5B-Instruct,0.1249,0.1781,-0.0532,outcome
mean,Qwen2.5-7B,0.2288,0.2185,0.0103,intent
mean,Qwen2.5-7B-Instruct,0.2522,0.2252,0.027,intent
last,OLMo-2-1124-7B,0.2555,0.2452,0.0103,intent
last,OLMo-2-1124-7B-Instruct,0.2558,0.2452,0.0106,intent
last,Qwen2.5-0.5B,0.0777,0.2385,-0.1608,outcome
last,Qwen2.5-0.5B-Instruct,0.1014,0.2252,-0.1238,outcome
last,Qwen2.5-1.5B,0.145,0.2452,-0.1002,outcome
last,Qwen2.5-1.5B-Instruct,0.1615,0.2452,-0.0837,outcome
last,Qwen2.5-7B,0.2891,0.2452,0.0439,intent
last,Qwen2.5-7B-Instruct,0.2858,0.2452,0.0406,intent

pooling,n_models,n_intent_larger,mean_difference,sign_test_p_two_sided
belief_last,8,8,0.2581,0.0078
action_last,8,8,0.2184,0.0078
mean,8,4,-0.0279,1.0
last,8,4,-0.0454,1.0
