layer,target,cv_acc,chance
0,intent,0.503448275862069,0.5
0,outcome,0.6039080459770115,0.5167785234899329
1,intent,0.6544827586206896,0.5
1,outcome,0.8889655172413793,0.5167785234899329
2,intent,0.6474712643678161,0.5
2,outcome,0.9627586206896552,0.5167785234899329
3,intent,0.6577011494252873,0.5
3,outcome,0.9800000000000001,0.5167785234899329
4,intent,0.6311494252873564,0.5
4,outcome,0.9800000000000001,0.5167785234899329
5,intent,0.6444827586206896,0.5
5,outcome,0.9766666666666668,0.5167785234899329
6,intent,0.6542528735632184,0.5
6,outcome,0.9866666666666667,0.5167785234899329
7,intent,0.684367816091954,0.5
7,outcome,0.9866666666666667,0.5167785234899329
8,intent,0.6708045977011494,0.5
8,outcome,0.99,0.5167785234899329
9,intent,0.6575862068965519,0.5
9,outcome,0.9966666666666667,0.5167785234899329
10,intent,0.667816091954023,0.5
10,outcome,0.9966666666666667,0.5167785234899329
11,intent,0.6845977011494253,0.5
11,outcome,0.9966666666666667,0.5167785234899329
12,intent,0.6949425287356321,0.5
12,outcome,0.9966666666666667,0.5167785234899329
13,intent,0.7014942528735633,0.5
13,outcome,0.9966666666666667,0.5167785234899329
14,intent,0.7448275862068965,0.5
14,outcome,0.9966666666666667,0.5167785234899329
15,intent,0.7379310344827587,0.5
15,outcome,0.9933333333333334,0.5167785234899329
16,intent,0.7317241379310346,0.5
16,outcome,0.9966666666666667,0.5167785234899329
17,intent,0.7786206896551724,0.5
17,outcome,0.9966666666666667,0.5167785234899329
18,intent,0.7651724137931035,0.5
18,outcome,0.9966666666666667,0.5167785234899329
19,intent,0.7585057471264368,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.7748275862068965,0.5
20,outcome,0.9966666666666667,0.5167785234899329
21,intent,0.7279310344827586,0.5
21,outcome,0.9933333333333334,0.5167785234899329
22,intent,0.7418390804597702,0.5
22,outcome,0.9966666666666667,0.5167785234899329
23,intent,0.7616091954022988,0.5
23,outcome,0.9966666666666667,0.5167785234899329
24,intent,0.7277011494252873,0.5
24,outcome,0.9966666666666667,0.5167785234899329
25,intent,0.7111494252873564,0.5
25,outcome,0.9966666666666667,0.5167785234899329
26,intent,0.687471264367816,0.5
26,outcome,0.9966666666666667,0.5167785234899329
27,intent,0.6940229885057472,0.5
27,outcome,0.9966666666666667,0.5167785234899329
28,intent,0.7041379310344829,0.5
28,outcome,0.9933333333333334,0.5167785234899329
