story_id,condition,source,sampled_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.7895
YS2008-COFFEE-accidental,accidental,YS2008,0.3077
YS2008-COFFEE-attempted,attempted,YS2008,0.4348
YS2008-COFFEE-intentional,intentional,YS2008,0.6429
YS2008-YS2008_02-neutral,neutral,YS2008,0.825
YS2008-YS2008_02-accidental,accidental,YS2008,0.8529
YS2008-YS2008_02-attempted,attempted,YS2008,0.7353
YS2008-YS2008_02-intentional,intentional,YS2008,0.5625
YS2008-YS2008_03-neutral,neutral,YS2008,0.5909
YS2008-YS2008_03-accidental,accidental,YS2008,0.6538
YS2008-YS2008_03-attempted,attempted,YS2008,0.5952
YS2008-YS2008_03-intentional,intentional,YS2008,0.5667
YS2008-YS2008_04-neutral,neutral,YS2008,0.7895
YS2008-YS2008_04-accidental,accidental,YS2008,0.7632
YS2008-YS2008_04-attempted,attempted,YS2008,0.5789
YS2008-YS2008_04-intentional,intentional,YS2008,0.6538
YS2008-YS2008_05-neutral,neutral,YS2008,0.6522
YS2008-YS2008_05-accidental,accidental,YS2008,0.6562
YS2008-YS2008_05-attempted,attempted,YS2008,0.7729
YS2008-YS2008_05-intentional,intentional,YS2008,0.7105
YS2008-YS2008_06-neutral,neutral,YS2008,0.8684
YS2008-YS2008_06-accidental,accidental,YS2008,0.7353
YS2008-YS2008_06-attempted,attempted,YS2008,0.6875
YS2008-YS2008_06-intentional,intentional,YS2008,0.5789
YS2008-YS2008_07-neutral,neutral,YS2008,0.6667
YS2008-YS2008_07-accidental,accidental,YS2008,0.8889
YS2008-YS2008_07-attempted,attempted,YS2008,0.6818
YS2008-YS2008_07-intentional,intentional,YS2008,0.8333
YS2008-YS2008_08-neutral,neutral,YS2008,0.65
YS2008-YS2008_08-accidental,accidental,YS2008,0.7895
YS2008-YS2008_08-attempted,attempted,YS2008,0.8696
YS2008-YS2008_08-intentional,intentional,YS2008,0.5238
YS2008-ASTHMA-neutral,neutral,YS2008,0.5556
YS2008-ASTHMA-accidental,accidental,YS2008,0.5333
YS2008-ASTHMA-attempted,attempted,YS2008,0.5789
YS2008-ASTHMA-intentional,intentional,YS2008,0.6429
YS2008-YS2008_10-neutral,neutral,YS2008,0.7381
YS2008-YS2008_10-accidental,accidental,YS2008,0.6875
YS2008-YS2008_10-attempted,attempted,YS2008,0.6458
YS2008-YS2008_10-intentional,intentional,YS2008,0.6111
YS2008-YS2008_11-neutral,neutral,YS2008,0.6667
YS2008-YS2008_11-accidental,accidental,YS2008,0.5625
YS2008-YS2008_11-attempted,attempted,YS2008,0.6136
YS2008-YS2008_11-intentional,intentional,YS2008,0.5714
YS2008-YS2008_12-neutral,neutral,YS2008,0.7812
YS2008-YS2008_12-accidental,accidental,YS2008,0.6176
YS2008-YS2008_12-attempted,attempted,YS2008,0.6818
YS2008-YS2008_12-intentional,intentional,YS2008,0.4643
YS2008-YS2008_13-neutral,neutral,YS2008,0.7391
YS2008-YS2008_13-accidental,accidental,YS2008,0.5
YS2008-YS2008_13-attempted,attempted,YS2008,0.7083
