layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5634,0.5,False
1,outcome,0.7691,0.5168,False
2,intent,0.5536,0.5,False
2,outcome,0.8798,0.5168,False
3,intent,0.5468,0.5,False
3,outcome,0.9233,0.5168,False
4,intent,0.5771,0.5,False
4,outcome,0.9498,0.5168,False
5,intent,0.5739,0.5,False
5,outcome,0.9731,0.5168,False
6,intent,0.587,0.5,False
6,outcome,0.9899,0.5168,False
7,intent,0.6346,0.5,False
7,outcome,0.9933,0.5168,False
8,intent,0.641,0.5,False
8,outcome,0.99,0.5168,False
9,intent,0.7049,0.5,False
9,outcome,0.9767,0.5168,False
10,intent,0.6644,0.5,False
10,outcome,0.98,0.5168,False
11,intent,0.7211,0.5,False
11,outcome,0.9867,0.5168,False
12,intent,0.7515,0.5,False
12,outcome,0.9867,0.5168,False
13,intent,0.7923,0.5,False
13,outcome,0.9867,0.5168,False
14,intent,0.8329,0.5,False
14,outcome,0.9867,0.5168,False
15,intent,0.8362,0.5,False
15,outcome,0.9867,0.5168,False
16,intent,0.8495,0.5,False
16,outcome,0.9867,0.5168,False
17,intent,0.8325,0.5,False
17,outcome,1.0,0.5168,False
18,intent,0.816,0.5,False
18,outcome,1.0,0.5168,False
19,intent,0.8124,0.5,False
19,outcome,1.0,0.5168,False
20,intent,0.7925,0.5,False
20,outcome,1.0,0.5168,False
21,intent,0.7989,0.5,False
21,outcome,1.0,0.5168,False
22,intent,0.8122,0.5,False
22,outcome,1.0,0.5168,False
23,intent,0.8156,0.5,False
23,outcome,1.0,0.5168,False
24,intent,0.7922,0.5,False
24,outcome,1.0,0.5168,False
25,intent,0.8191,0.5,False
25,outcome,0.9967,0.5168,False
26,intent,0.8294,0.5,False
26,outcome,1.0,0.5168,False
27,intent,0.7959,0.5,False
27,outcome,0.9967,0.5168,False
28,intent,0.7923,0.5,False
28,outcome,1.0,0.5168,False
29,intent,0.8091,0.5,False
29,outcome,1.0,0.5168,False
30,intent,0.8026,0.5,False
30,outcome,1.0,0.5168,False
31,intent,0.8261,0.5,False
31,outcome,1.0,0.5168,False
32,intent,0.8089,0.5,False
32,outcome,1.0,0.5168,False
