layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5533333333333333,0.5
1,outcome,0.7926436781609196,0.5167785234899329
2,intent,0.5440229885057472,0.5
2,outcome,0.8732183908045977,0.5167785234899329
3,intent,0.5566666666666666,0.5
3,outcome,0.9266666666666665,0.5167785234899329
4,intent,0.5805747126436781,0.5
4,outcome,0.96,0.5167785234899329
5,intent,0.6172413793103448,0.5
5,outcome,0.973103448275862,0.5167785234899329
6,intent,0.6104597701149426,0.5
6,outcome,0.9728735632183909,0.5167785234899329
7,intent,0.6241379310344828,0.5
7,outcome,0.9831034482758622,0.5167785234899329
8,intent,0.6173563218390805,0.5
8,outcome,0.9831034482758622,0.5167785234899329
9,intent,0.6545977011494253,0.5
9,outcome,0.9766666666666666,0.5167785234899329
10,intent,0.6741379310344827,0.5
10,outcome,0.9800000000000001,0.5167785234899329
11,intent,0.7279310344827586,0.5
11,outcome,0.9866666666666667,0.5167785234899329
12,intent,0.7882758620689655,0.5
12,outcome,0.9866666666666667,0.5167785234899329
13,intent,0.8360919540229885,0.5
13,outcome,1.0,0.5167785234899329
14,intent,0.8324137931034482,0.5
14,outcome,1.0,0.5167785234899329
15,intent,0.8224137931034482,0.5
15,outcome,1.0,0.5167785234899329
16,intent,0.8526436781609196,0.5
16,outcome,1.0,0.5167785234899329
17,intent,0.8359770114942527,0.5
17,outcome,1.0,0.5167785234899329
18,intent,0.8124137931034483,0.5
18,outcome,1.0,0.5167785234899329
19,intent,0.8325287356321839,0.5
19,outcome,1.0,0.5167785234899329
20,intent,0.8193103448275864,0.5
20,outcome,1.0,0.5167785234899329
21,intent,0.7889655172413793,0.5
21,outcome,1.0,0.5167785234899329
22,intent,0.8289655172413793,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.7855172413793103,0.5
23,outcome,1.0,0.5167785234899329
24,intent,0.7991954022988506,0.5
24,outcome,1.0,0.5167785234899329
25,intent,0.8126436781609196,0.5
25,outcome,1.0,0.5167785234899329
26,intent,0.792528735632184,0.5
26,outcome,1.0,0.5167785234899329
27,intent,0.7988505747126438,0.5
27,outcome,1.0,0.5167785234899329
28,intent,0.7887356321839081,0.5
28,outcome,1.0,0.5167785234899329
29,intent,0.782183908045977,0.5
29,outcome,1.0,0.5167785234899329
30,intent,0.7751724137931035,0.5
30,outcome,1.0,0.5167785234899329
31,intent,0.7351724137931035,0.5
31,outcome,1.0,0.5167785234899329
32,intent,0.7554022988505747,0.5
32,outcome,1.0,0.5167785234899329
