layer,target,cv_acc,chance
0,intent,0.7347126436781609,0.5
0,outcome,0.8889655172413793,0.5167785234899329
1,intent,0.724712643678161,0.5
1,outcome,0.9093103448275862,0.5167785234899329
2,intent,0.7755172413793103,0.5
2,outcome,0.9194252873563219,0.5167785234899329
3,intent,0.7517241379310345,0.5
3,outcome,0.9394252873563218,0.5167785234899329
4,intent,0.7249425287356323,0.5
4,outcome,0.9395402298850575,0.5167785234899329
5,intent,0.7413793103448276,0.5
5,outcome,0.9462068965517242,0.5167785234899329
6,intent,0.7785057471264369,0.5
6,outcome,0.9460919540229884,0.5167785234899329
7,intent,0.7481609195402299,0.5
7,outcome,0.9562068965517241,0.5167785234899329
8,intent,0.778390804597701,0.5
8,outcome,0.9629885057471265,0.5167785234899329
9,intent,0.7817241379310346,0.5
9,outcome,0.9797701149425289,0.5167785234899329
10,intent,0.8016091954022988,0.5
10,outcome,0.9864367816091955,0.5167785234899329
11,intent,0.8319540229885056,0.5
11,outcome,0.9796551724137931,0.5167785234899329
12,intent,0.8354022988505747,0.5
12,outcome,0.9897701149425288,0.5167785234899329
13,intent,0.8591954022988505,0.5
13,outcome,0.9932183908045976,0.5167785234899329
14,intent,0.9195402298850576,0.5
14,outcome,0.9933333333333334,0.5167785234899329
15,intent,0.9363218390804597,0.5
15,outcome,0.9933333333333334,0.5167785234899329
16,intent,0.9363218390804597,0.5
16,outcome,0.9933333333333334,0.5167785234899329
17,intent,0.9160919540229886,0.5
17,outcome,0.9933333333333334,0.5167785234899329
18,intent,0.9093103448275862,0.5
18,outcome,0.986551724137931,0.5167785234899329
19,intent,0.8752873563218391,0.5
19,outcome,0.986551724137931,0.5167785234899329
20,intent,0.8922988505747126,0.5
20,outcome,0.986551724137931,0.5167785234899329
21,intent,0.8522988505747128,0.5
21,outcome,0.9797701149425289,0.5167785234899329
22,intent,0.8455172413793104,0.5
22,outcome,0.9831034482758622,0.5167785234899329
23,intent,0.8419540229885059,0.5
23,outcome,0.9797701149425289,0.5167785234899329
24,intent,0.8519540229885056,0.5
24,outcome,0.9762068965517242,0.5167785234899329
25,intent,0.8588505747126437,0.5
25,outcome,0.9764367816091953,0.5167785234899329
26,intent,0.8452873563218389,0.5
26,outcome,0.9729885057471265,0.5167785234899329
27,intent,0.8318390804597702,0.5
27,outcome,0.9694252873563218,0.5167785234899329
28,intent,0.8351724137931035,0.5
28,outcome,0.9627586206896552,0.5167785234899329
29,intent,0.8317241379310346,0.5
29,outcome,0.9626436781609196,0.5167785234899329
30,intent,0.8218390804597702,0.5
30,outcome,0.9524137931034483,0.5167785234899329
31,intent,0.80816091954023,0.5
31,outcome,0.9522988505747125,0.5167785234899329
32,intent,0.7948275862068965,0.5
32,outcome,0.9457471264367816,0.5167785234899329
