template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.6827,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.543,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.6259,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.4842,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.7311,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.4447,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.6244,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.381,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.5642,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.4092,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.5327,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.4392,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.4738,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.3537,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.5053,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.2966,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.7967,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3797,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.7761,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.3504,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.623,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.4109,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.5018,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.471,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.4723,1
