subset,feature_set,target,cv_acc,cv_std,chance,n_items,n_features
all,tfidf_word_1_2,intent,0.7446,0.0509,0.5,298,5690
all,tfidf_word_1_2,outcome,0.8925,0.014,0.5168,298,5690
all,tfidf_char_3_5,intent,0.7453,0.0634,0.5,298,12032
all,tfidf_char_3_5,outcome,0.8889,0.0419,0.5168,298,12032
intent_noharm,tfidf_word_1_2,intent,0.7833,0.0603,0.5,144,3916
intent_noharm,tfidf_char_3_5,intent,0.7633,0.0575,0.5,144,9637
intent_harm,tfidf_word_1_2,intent,0.7654,0.0367,0.5,154,4186
intent_harm,tfidf_char_3_5,intent,0.7404,0.034,0.5,154,10048
outcome_innocent,tfidf_word_1_2,outcome,0.8789,0.0287,0.5168,149,4188
outcome_innocent,tfidf_char_3_5,outcome,0.8924,0.0395,0.5168,149,10342
outcome_guilty,tfidf_word_1_2,outcome,0.886,0.0338,0.5168,149,4161
outcome_guilty,tfidf_char_3_5,outcome,0.9062,0.0386,0.5168,149,10211
