layer,target,cv_acc,chance
0,intent,0.7545977011494254,0.5
0,outcome,0.8694252873563219,0.5167785234899329
1,intent,0.7211494252873563,0.5
1,outcome,0.8555172413793104,0.5167785234899329
2,intent,0.7048275862068965,0.5
2,outcome,0.8589655172413794,0.5167785234899329
3,intent,0.7316091954022989,0.5
3,outcome,0.8857471264367816,0.5167785234899329
4,intent,0.7483908045977012,0.5
4,outcome,0.8890804597701149,0.5167785234899329
5,intent,0.7485057471264368,0.5
5,outcome,0.885632183908046,0.5167785234899329
6,intent,0.7418390804597702,0.5
6,outcome,0.8924137931034481,0.5167785234899329
7,intent,0.7885057471264367,0.5
7,outcome,0.8991954022988506,0.5167785234899329
8,intent,0.7548275862068965,0.5
8,outcome,0.9024137931034483,0.5167785234899329
9,intent,0.7648275862068965,0.5
9,outcome,0.9259770114942529,0.5167785234899329
10,intent,0.7985057471264368,0.5
10,outcome,0.9528735632183908,0.5167785234899329
11,intent,0.7482758620689655,0.5
11,outcome,0.9595402298850575,0.5167785234899329
12,intent,0.7782758620689656,0.5
12,outcome,0.9494252873563218,0.5167785234899329
13,intent,0.7949425287356323,0.5
13,outcome,0.9595402298850575,0.5167785234899329
14,intent,0.8149425287356322,0.5
14,outcome,0.9629885057471265,0.5167785234899329
15,intent,0.8317241379310344,0.5
15,outcome,0.959655172413793,0.5167785234899329
16,intent,0.8216091954022989,0.5
16,outcome,0.949655172413793,0.5167785234899329
17,intent,0.8719540229885059,0.5
17,outcome,0.9528735632183908,0.5167785234899329
18,intent,0.8519540229885058,0.5
18,outcome,0.9429885057471263,0.5167785234899329
19,intent,0.8385057471264368,0.5
19,outcome,0.9295402298850574,0.5167785234899329
20,intent,0.83183908045977,0.5
20,outcome,0.9364367816091954,0.5167785234899329
21,intent,0.7948275862068965,0.5
21,outcome,0.9063218390804597,0.5167785234899329
22,intent,0.7818390804597701,0.5
22,outcome,0.9058620689655171,0.5167785234899329
23,intent,0.7582758620689655,0.5
23,outcome,0.8957471264367817,0.5167785234899329
24,intent,0.7613793103448275,0.5
24,outcome,0.835632183908046,0.5167785234899329
25,intent,0.7713793103448275,0.5
25,outcome,0.8290804597701149,0.5167785234899329
26,intent,0.7711494252873564,0.5
26,outcome,0.8522988505747126,0.5167785234899329
27,intent,0.7647126436781609,0.5
27,outcome,0.8522988505747126,0.5167785234899329
28,intent,0.7209195402298851,0.5
28,outcome,0.8624137931034482,0.5167785234899329
