model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.7437,0.3718
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.5856,0.2928
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.6105,0.3053
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.7156,0.3578
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,1.4365,0.2182
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,1.5038,0.2519
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,1.4401,0.2201
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,1.4809,0.2405
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,1.4386,0.2193
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,1.5058,0.2529
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,1.4503,0.2252
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,1.5143,0.2572
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,2.1577,0.5789
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.094,0.547
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,2.0511,0.5256
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,1.9737,0.4869
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,1.5302,0.2651
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,1.4317,0.2159
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,1.5329,0.2665
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,1.4335,0.2168
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,1.8149,0.4075
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,1.8676,0.4338
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,1.8388,0.4194
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,1.8416,0.4208
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,1.4248,0.2124
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,1.403,0.2015
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,1.4207,0.2104
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,1.4254,0.2127
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,1.8382,0.4191
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,1.8627,0.4314
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,1.5854,0.2927
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,1.7912,0.3956
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.0556,0.5278
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.8916,0.4458
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.0563,0.5282
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.972,0.486
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,1.897,0.4485
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,1.7807,0.3903
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,1.7807,0.3903
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,1.6358,0.3179
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,1.4576,0.2288
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,1.5899,0.295
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,1.5102,0.2551
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,1.4641,0.232
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,1.6159,0.3079
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,1.5042,0.2521
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,1.6337,0.3168
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,1.5175,0.2587
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,1.661,0.3305
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,1.7308,0.3654
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-IRON-attempted,YS2008,attempted,guilty,no_harm,1.5976,0.2988
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-IRON-intentional,YS2008,intentional,guilty,harm,1.8071,0.4035
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MEATLOAF-neutral,YS2008,neutral,innocent,no_harm,1.4048,0.2024
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MEATLOAF-accidental,YS2008,accidental,innocent,harm,1.3577,0.1788
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MEATLOAF-attempted,YS2008,attempted,guilty,no_harm,1.3893,0.1946
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-MEATLOAF-intentional,YS2008,intentional,guilty,harm,1.3539,0.177
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-RIVER-neutral,YS2008,neutral,innocent,no_harm,1.8409,0.4204
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-RIVER-accidental,YS2008,accidental,innocent,harm,1.8877,0.4438
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-RIVER-attempted,YS2008,attempted,guilty,no_harm,1.7016,0.3508
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-RIVER-intentional,YS2008,intentional,guilty,harm,1.8604,0.4302
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LOGAN AIRPORT-neutral,YS2008,neutral,innocent,no_harm,1.6207,0.3103
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LOGAN AIRPORT-accidental,YS2008,accidental,innocent,harm,1.622,0.311
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LOGAN AIRPORT-attempted,YS2008,attempted,guilty,no_harm,1.4376,0.2188
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-LOGAN AIRPORT-intentional,YS2008,intentional,guilty,harm,1.5385,0.2693
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-TRACKS-neutral,YS2008,neutral,innocent,no_harm,1.6851,0.3425
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-TRACKS-accidental,YS2008,accidental,innocent,harm,1.7151,0.3575
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-TRACKS-attempted,YS2008,attempted,guilty,no_harm,1.6733,0.3366
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-TRACKS-intentional,YS2008,intentional,guilty,harm,1.6121,0.3061
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-HARNESS-neutral,YS2008,neutral,innocent,no_harm,1.4269,0.2135
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-HARNESS-accidental,YS2008,accidental,innocent,harm,1.5466,0.2733
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-HARNESS-attempted,YS2008,attempted,guilty,no_harm,1.5983,0.2991
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-HARNESS-intentional,YS2008,intentional,guilty,harm,1.3984,0.1992
Qwen/Qwen2.5-1.5B,human_verbatim,0,YS2008-IGLOO-neutral,YS2008,neutral,innocent,no_harm,1.5365,0.2682
