layer,target,cv_acc,chance,degenerate
0,intent,0.55,0.5,False
0,outcome,0.7892,0.5168,False
1,intent,0.5336,0.5,False
1,outcome,0.7823,0.5168,False
2,intent,0.5834,0.5,False
2,outcome,0.7922,0.5168,False
3,intent,0.5737,0.5,False
3,outcome,0.7924,0.5168,False
4,intent,0.597,0.5,False
4,outcome,0.7993,0.5168,False
5,intent,0.6243,0.5,False
5,outcome,0.8261,0.5168,False
6,intent,0.6278,0.5,False
6,outcome,0.8494,0.5168,False
7,intent,0.6344,0.5,False
7,outcome,0.8767,0.5168,False
8,intent,0.6244,0.5,False
8,outcome,0.8864,0.5168,False
9,intent,0.6883,0.5,False
9,outcome,0.8894,0.5168,False
10,intent,0.7048,0.5,False
10,outcome,0.9095,0.5168,False
11,intent,0.7554,0.5,False
11,outcome,0.9464,0.5168,False
12,intent,0.7452,0.5,False
12,outcome,0.9331,0.5168,False
13,intent,0.792,0.5,False
13,outcome,0.9764,0.5168,False
14,intent,0.8526,0.5,False
14,outcome,0.99,0.5168,False
15,intent,0.8694,0.5,False
15,outcome,0.9967,0.5168,False
16,intent,0.8428,0.5,False
16,outcome,0.9967,0.5168,False
17,intent,0.8532,0.5,False
17,outcome,0.9867,0.5168,False
18,intent,0.8092,0.5,False
18,outcome,0.9667,0.5168,False
19,intent,0.7656,0.5,False
19,outcome,0.9531,0.5168,False
20,intent,0.7921,0.5,False
20,outcome,0.96,0.5168,False
21,intent,0.7655,0.5,False
21,outcome,0.9498,0.5168,False
22,intent,0.7454,0.5,False
22,outcome,0.9297,0.5168,False
23,intent,0.7287,0.5,False
23,outcome,0.9267,0.5168,False
24,intent,0.7257,0.5,False
24,outcome,0.9031,0.5168,False
25,intent,0.7256,0.5,False
25,outcome,0.8864,0.5168,False
26,intent,0.7222,0.5,False
26,outcome,0.8695,0.5168,False
27,intent,0.722,0.5,False
27,outcome,0.8494,0.5168,False
28,intent,0.7323,0.5,False
28,outcome,0.8695,0.5168,False
29,intent,0.7328,0.5,False
29,outcome,0.8662,0.5168,False
30,intent,0.736,0.5,False
30,outcome,0.8731,0.5168,False
31,intent,0.7086,0.5,False
31,outcome,0.86,0.5168,False
32,intent,0.7254,0.5,False
32,outcome,0.8533,0.5168,False
