subset,feature_set,target,cv_acc,cv_std,chance,n_items,n_features
all,tfidf_word_1_2,intent,0.7446,0.0509,0.5,298,6743
all,tfidf_word_1_2,outcome,0.8353,0.0718,0.5168,298,6743
all,tfidf_char_3_5,intent,0.752,0.0451,0.5,298,13102
all,tfidf_char_3_5,outcome,0.8318,0.0306,0.5168,298,13102
intent_noharm,tfidf_word_1_2,intent,0.7833,0.0603,0.5,144,3916
intent_noharm,tfidf_char_3_5,intent,0.7633,0.0575,0.5,144,9637
intent_harm,tfidf_word_1_2,intent,0.7913,0.0381,0.5,154,5295
intent_harm,tfidf_char_3_5,intent,0.7271,0.0512,0.5,154,11359
outcome_innocent,tfidf_word_1_2,outcome,0.7984,0.0484,0.5168,149,4583
outcome_innocent,tfidf_char_3_5,outcome,0.8251,0.0662,0.5168,149,10988
outcome_guilty,tfidf_word_1_2,outcome,0.7913,0.0709,0.5168,149,4571
outcome_guilty,tfidf_char_3_5,outcome,0.8184,0.0366,0.5168,149,10892
