template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.3245,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2844,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.4352,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.317,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.1401,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.3943,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.1086,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2176,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.7363,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.1642,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.8812,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.0423,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.8524,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.023,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9307,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0121,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9468,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.123,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.8543,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2684,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.1781,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.1574,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.1338,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.374,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.3158,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.534,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.3601,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.5292,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.4598,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.4707,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.3366,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.1319,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.7569,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.2572,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.6567,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.3199,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.2379,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.4707,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.2016,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.4311,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.2819,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.054,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.2772,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.0715,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.4082,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.4147,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.4133,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.0863,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.3013,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.4011,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.333,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.3993,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.3599,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.5309,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.355,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.5813,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.3757,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.1457,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.3039,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.0108,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.3043,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.1271,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.3571,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.2068,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.8391,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.0164,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.9552,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.0373,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.4183,1
acceptable7,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.2874,1
acceptable7,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.2206,1
acceptable7,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.342,1
acceptable7,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.2497,1
acceptable7,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.3714,1
acceptable7,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.2189,1
acceptable7,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.4473,1
acceptable7,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.8224,1
acceptable7,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.0754,1
acceptable7,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.7415,1
acceptable7,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.0664,1
acceptable7,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.3174,1
acceptable7,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.1943,1
acceptable7,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.1507,1
acceptable7,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.098,1
acceptable7,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.9765,1
acceptable7,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.1941,1
acceptable7,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.901,1
acceptable7,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.187,1
acceptable7,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.4986,1
acceptable7,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.0007,1
acceptable7,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,0.5142,1
acceptable7,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.0995,1
acceptable7,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.531,1
acceptable7,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,0.391,1
acceptable7,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.2941,1
acceptable7,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.3931,1
acceptable7,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,0.1627,1
acceptable7,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,0.0136,1
acceptable7,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,0.1736,1
acceptable7,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,0.021,1
acceptable7,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,0.9863,1
acceptable7,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,0.4503,1
acceptable7,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,0.9191,1
acceptable7,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,0.4536,1
acceptable7,YS2008-YS2008_15-accidental,YS2008,accidental,innocent,harm,0.172,1
acceptable7,YS2008-YS2008_15-attempted,YS2008,attempted,guilty,no_harm,0.5657,1
acceptable7,YS2008-YS2008_15-intentional,YS2008,intentional,guilty,harm,0.3706,1
acceptable7,YS2008-YS2008_15-neutral,YS2008,neutral,innocent,no_harm,0.6824,1
acceptable7,YS2008-YS2008_16-accidental,YS2008,accidental,innocent,harm,0.3699,1
acceptable7,YS2008-YS2008_16-attempted,YS2008,attempted,guilty,no_harm,0.2936,1
acceptable7,YS2008-YS2008_16-intentional,YS2008,intentional,guilty,harm,0.2122,1
acceptable7,YS2008-YS2008_16-neutral,YS2008,neutral,innocent,no_harm,0.3552,1
acceptable7,YS2008-YS2008_17-accidental,YS2008,accidental,innocent,harm,0.3646,1
acceptable7,YS2008-YS2008_17-attempted,YS2008,attempted,guilty,no_harm,0.4622,1
acceptable7,YS2008-YS2008_17-intentional,YS2008,intentional,guilty,harm,0.3377,1
acceptable7,YS2008-YS2008_17-neutral,YS2008,neutral,innocent,no_harm,0.312,1
acceptable7,YS2008-YS2008_18-accidental,YS2008,accidental,innocent,harm,0.9789,1
acceptable7,YS2008-YS2008_18-attempted,YS2008,attempted,guilty,no_harm,0.4121,1
acceptable7,YS2008-YS2008_18-intentional,YS2008,intentional,guilty,harm,0.9822,1
acceptable7,YS2008-YS2008_18-neutral,YS2008,neutral,innocent,no_harm,0.231,1
acceptable7,YS2008-YS2008_19-accidental,YS2008,accidental,innocent,harm,0.5398,1
acceptable7,YS2008-YS2008_19-attempted,YS2008,attempted,guilty,no_harm,0.4397,1
acceptable7,YS2008-YS2008_19-intentional,YS2008,intentional,guilty,harm,0.4279,1
acceptable7,YS2008-YS2008_19-neutral,YS2008,neutral,innocent,no_harm,0.1738,1
acceptable7,YS2008-YS2008_20-accidental,YS2008,accidental,innocent,harm,0.703,1
acceptable7,YS2008-YS2008_20-attempted,YS2008,attempted,guilty,no_harm,0.2952,1
acceptable7,YS2008-YS2008_20-intentional,YS2008,intentional,guilty,harm,0.7165,1
acceptable7,YS2008-YS2008_20-neutral,YS2008,neutral,innocent,no_harm,0.4298,1
acceptable7,YS2008-YS2008_21-accidental,YS2008,accidental,innocent,harm,0.6609,1
acceptable7,YS2008-YS2008_21-attempted,YS2008,attempted,guilty,no_harm,0.111,1
acceptable7,YS2008-YS2008_21-intentional,YS2008,intentional,guilty,harm,0.7028,1
acceptable7,YS2008-YS2008_21-neutral,YS2008,neutral,innocent,no_harm,0.1903,1
acceptable7,YS2008-YS2008_22-accidental,YS2008,accidental,innocent,harm,0.8712,1
acceptable7,YS2008-YS2008_22-attempted,YS2008,attempted,guilty,no_harm,0.1054,1
acceptable7,YS2008-YS2008_22-intentional,YS2008,intentional,guilty,harm,0.9245,1
acceptable7,YS2008-YS2008_22-neutral,YS2008,neutral,innocent,no_harm,0.5446,1
acceptable7,YS2008-YS2008_24-accidental,YS2008,accidental,innocent,harm,0.0834,1
acceptable7,YS2008-YS2008_24-attempted,YS2008,attempted,guilty,no_harm,0.2142,1
acceptable7,YS2008-YS2008_24-intentional,YS2008,intentional,guilty,harm,0.4268,1
acceptable7,YS2008-YS2008_24-neutral,YS2008,neutral,innocent,no_harm,0.1758,1
acceptable7,YS2008-YS2008_26-accidental,YS2008,accidental,innocent,harm,0.0998,1
acceptable7,YS2008-YS2008_26-attempted,YS2008,attempted,guilty,no_harm,0.4711,1
acceptable7,YS2008-YS2008_26-intentional,YS2008,intentional,guilty,harm,0.1995,1
acceptable7,YS2008-YS2008_26-neutral,YS2008,neutral,innocent,no_harm,0.5902,1
acceptable7,YS2008-YS2008_28-accidental,YS2008,accidental,innocent,harm,0.4138,1
acceptable7,YS2008-YS2008_28-attempted,YS2008,attempted,guilty,no_harm,0.001,1
acceptable7,YS2008-YS2008_28-intentional,YS2008,intentional,guilty,harm,0.2205,1
acceptable7,YS2008-YS2008_28-neutral,YS2008,neutral,innocent,no_harm,0.0255,1
acceptable7,YS2008-YS2008_30-accidental,YS2008,accidental,innocent,harm,0.2886,1
acceptable7,YS2008-YS2008_30-attempted,YS2008,attempted,guilty,no_harm,0.3476,1
acceptable7,YS2008-YS2008_30-intentional,YS2008,intentional,guilty,harm,0.2651,1
acceptable7,YS2008-YS2008_30-neutral,YS2008,neutral,innocent,no_harm,0.0603,1
acceptable7,YS2008-YS2008_32-accidental,YS2008,accidental,innocent,harm,0.0879,1
acceptable7,YS2008-YS2008_32-attempted,YS2008,attempted,guilty,no_harm,0.0108,1
acceptable7,YS2008-YS2008_32-intentional,YS2008,intentional,guilty,harm,0.1741,1
acceptable7,YS2008-YS2008_32-neutral,YS2008,neutral,innocent,no_harm,0.0397,1
acceptable7,YS2008-YS2008_34-accidental,YS2008,accidental,innocent,harm,0.4046,1
acceptable7,YS2008-YS2008_34-attempted,YS2008,attempted,guilty,no_harm,0.3471,1
acceptable7,YS2008-YS2008_34-intentional,YS2008,intentional,guilty,harm,0.3052,1
acceptable7,YS2008-YS2008_34-neutral,YS2008,neutral,innocent,no_harm,0.3055,1
acceptable7,YS2008-YS2008_36-accidental,YS2008,accidental,innocent,harm,0.5363,1
acceptable7,YS2008-YS2008_36-attempted,YS2008,attempted,guilty,no_harm,0.5249,1
acceptable7,YS2008-YS2008_36-intentional,YS2008,intentional,guilty,harm,0.299,1
acceptable7,YS2008-YS2008_36-neutral,YS2008,neutral,innocent,no_harm,0.4551,1
acceptable7,YS2008-YS2008_38-accidental,YS2008,accidental,innocent,harm,0.9701,1
acceptable7,YS2008-YS2008_38-attempted,YS2008,attempted,guilty,no_harm,0.0233,1
acceptable7,YS2008-YS2008_38-intentional,YS2008,intentional,guilty,harm,0.8757,1
acceptable7,YS2008-YS2008_38-neutral,YS2008,neutral,innocent,no_harm,0.0176,1
acceptable7,YS2008-YS2008_40-accidental,YS2008,accidental,innocent,harm,0.3574,1
acceptable7,YS2008-YS2008_40-attempted,YS2008,attempted,guilty,no_harm,0.1153,1
acceptable7,YS2008-YS2008_40-intentional,YS2008,intentional,guilty,harm,0.2325,1
acceptable7,YS2008-YS2008_40-neutral,YS2008,neutral,innocent,no_harm,0.4875,1
acceptable7,YS2008-YS2008_42-accidental,YS2008,accidental,innocent,harm,0.7269,1
acceptable7,YS2008-YS2008_42-attempted,YS2008,attempted,guilty,no_harm,0.384,1
acceptable7,YS2008-YS2008_42-intentional,YS2008,intentional,guilty,harm,0.5691,1
acceptable7,YS2008-YS2008_42-neutral,YS2008,neutral,innocent,no_harm,0.5154,1
acceptable7,YS2008-YS2008_44-accidental,YS2008,accidental,innocent,harm,0.2466,1
acceptable7,YS2008-YS2008_44-attempted,YS2008,attempted,guilty,no_harm,0.2262,1
acceptable7,YS2008-YS2008_44-intentional,YS2008,intentional,guilty,harm,0.2192,1
acceptable7,YS2008-YS2008_44-neutral,YS2008,neutral,innocent,no_harm,0.0012,1
acceptable7,YS2008-YS2008_46-accidental,YS2008,accidental,innocent,harm,0.4284,1
acceptable7,YS2008-YS2008_46-attempted,YS2008,attempted,guilty,no_harm,0.4082,1
acceptable7,YS2008-YS2008_46-intentional,YS2008,intentional,guilty,harm,0.4378,1
