layer,target,cv_acc,chance
0,intent,0.5371264367816092,0.5
0,outcome,0.7926436781609196,0.5167785234899329
1,intent,0.5703448275862069,0.5
1,outcome,0.742183908045977,0.5167785234899329
2,intent,0.5567816091954023,0.5
2,outcome,0.7352873563218391,0.5167785234899329
3,intent,0.5437931034482759,0.5
3,outcome,0.7687356321839081,0.5167785234899329
4,intent,0.6242528735632185,0.5
4,outcome,0.812183908045977,0.5167785234899329
5,intent,0.6106896551724137,0.5
5,outcome,0.8286206896551725,0.5167785234899329
6,intent,0.6179310344827587,0.5
6,outcome,0.8593103448275862,0.5167785234899329
7,intent,0.6178160919540231,0.5
7,outcome,0.8660919540229886,0.5167785234899329
8,intent,0.6272413793103448,0.5
8,outcome,0.8863218390804597,0.5167785234899329
9,intent,0.6509195402298851,0.5
9,outcome,0.852183908045977,0.5167785234899329
10,intent,0.6578160919540229,0.5
10,outcome,0.8564367816091953,0.5167785234899329
11,intent,0.6048275862068965,0.5
11,outcome,0.8462068965517242,0.5167785234899329
12,intent,0.6648275862068964,0.5
12,outcome,0.8965517241379309,0.5167785234899329
13,intent,0.6680459770114943,0.5
13,outcome,0.9333333333333333,0.5167785234899329
14,intent,0.664712643678161,0.5
14,outcome,0.93,0.5167785234899329
15,intent,0.7588505747126437,0.5
15,outcome,0.95,0.5167785234899329
16,intent,0.799080459770115,0.5
16,outcome,0.9266666666666665,0.5167785234899329
17,intent,0.8120689655172413,0.5
17,outcome,0.9233333333333335,0.5167785234899329
18,intent,0.8190804597701149,0.5
18,outcome,0.9433333333333334,0.5167785234899329
19,intent,0.8157471264367816,0.5
19,outcome,0.9433333333333334,0.5167785234899329
20,intent,0.7683908045977013,0.5
20,outcome,0.8864367816091955,0.5167785234899329
21,intent,0.7854022988505747,0.5
21,outcome,0.8695402298850574,0.5167785234899329
22,intent,0.6983908045977012,0.5
22,outcome,0.859425287356322,0.5167785234899329
23,intent,0.7214942528735632,0.5
23,outcome,0.8463218390804597,0.5167785234899329
24,intent,0.7079310344827585,0.5
24,outcome,0.8295402298850576,0.5167785234899329
25,intent,0.6511494252873563,0.5
25,outcome,0.8027586206896553,0.5167785234899329
26,intent,0.6845977011494253,0.5
26,outcome,0.7860919540229885,0.5167785234899329
27,intent,0.661264367816092,0.5
27,outcome,0.7895402298850575,0.5167785234899329
28,intent,0.6309195402298851,0.5
28,outcome,0.7859770114942528,0.5167785234899329
