layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.625,0.5,False
1,outcome,0.5739,0.5,False
2,intent,0.6189,0.5,False
2,outcome,0.5944,0.5,False
3,intent,0.675,0.5,False
3,outcome,0.5939,0.5,False
4,intent,0.6928,0.5,False
4,outcome,0.6222,0.5,False
5,intent,0.6928,0.5,False
5,outcome,0.6328,0.5,False
6,intent,0.6506,0.5,False
6,outcome,0.6383,0.5,False
7,intent,0.7156,0.5,False
7,outcome,0.5561,0.5,False
8,intent,0.7756,0.5,False
8,outcome,0.595,0.5,False
9,intent,0.8061,0.5,False
9,outcome,0.6661,0.5,False
10,intent,0.8383,0.5,False
10,outcome,0.6611,0.5,False
11,intent,0.9111,0.5,False
11,outcome,0.7944,0.5,False
12,intent,0.9222,0.5,False
12,outcome,0.725,0.5,False
13,intent,0.8961,0.5,False
13,outcome,0.7589,0.5,False
14,intent,0.9489,0.5,False
14,outcome,0.7678,0.5,False
15,intent,0.9439,0.5,False
15,outcome,0.8422,0.5,False
16,intent,0.9594,0.5,False
16,outcome,0.8283,0.5,False
17,intent,0.965,0.5,False
17,outcome,0.84,0.5,False
18,intent,0.955,0.5,False
18,outcome,0.8272,0.5,False
19,intent,0.9544,0.5,False
19,outcome,0.8033,0.5,False
20,intent,0.9489,0.5,False
20,outcome,0.8189,0.5,False
21,intent,0.9489,0.5,False
21,outcome,0.7922,0.5,False
22,intent,0.9222,0.5,False
22,outcome,0.7878,0.5,False
23,intent,0.9228,0.5,False
23,outcome,0.7661,0.5,False
24,intent,0.8956,0.5,False
24,outcome,0.7978,0.5,False
25,intent,0.8694,0.5,False
25,outcome,0.8306,0.5,False
26,intent,0.8856,0.5,False
26,outcome,0.8033,0.5,False
27,intent,0.9067,0.5,False
27,outcome,0.8089,0.5,False
28,intent,0.8489,0.5,False
28,outcome,0.7922,0.5,False
