layer,probe_name,cv_acc,cv_std,chance,n
0,intent_noharm,0.5,0.0,0.5,144
1,intent_noharm,0.7143,0.0336,0.5,144
2,intent_noharm,0.7348,0.0486,0.5,144
3,intent_noharm,0.7695,0.0695,0.5,144
4,intent_noharm,0.7552,0.0645,0.5,144
5,intent_noharm,0.7695,0.042,0.5,144
6,intent_noharm,0.749,0.0326,0.5,144
7,intent_noharm,0.7995,0.05,0.5,144
8,intent_noharm,0.8476,0.033,0.5,144
9,intent_noharm,0.8957,0.0035,0.5,144
10,intent_noharm,0.8886,0.016,0.5,144
11,intent_noharm,0.9162,0.0191,0.5,144
12,intent_noharm,0.9371,0.027,0.5,144
13,intent_noharm,0.9448,0.0415,0.5,144
14,intent_noharm,0.9448,0.0348,0.5,144
15,intent_noharm,0.959,0.0325,0.5,144
16,intent_noharm,0.9376,0.025,0.5,144
17,intent_noharm,0.9519,0.026,0.5,144
18,intent_noharm,0.9448,0.0265,0.5,144
19,intent_noharm,0.9519,0.026,0.5,144
20,intent_noharm,0.9386,0.0379,0.5,144
21,intent_noharm,0.9314,0.0357,0.5,144
22,intent_noharm,0.9314,0.0357,0.5,144
23,intent_noharm,0.9381,0.0242,0.5,144
24,intent_noharm,0.9376,0.025,0.5,144
25,intent_noharm,0.9381,0.0242,0.5,144
26,intent_noharm,0.9381,0.0242,0.5,144
27,intent_noharm,0.9314,0.0288,0.5,144
28,intent_noharm,0.9381,0.0242,0.5,144
29,intent_noharm,0.9248,0.0378,0.5,144
30,intent_noharm,0.9248,0.0378,0.5,144
31,intent_noharm,0.9381,0.0242,0.5,144
32,intent_noharm,0.9243,0.0317,0.5,144
0,intent_harm,0.5,0.0,0.5,154
1,intent_harm,0.5775,0.0318,0.5,154
2,intent_harm,0.5521,0.0452,0.5,154
3,intent_harm,0.5775,0.0318,0.5,154
4,intent_harm,0.63,0.0417,0.5,154
5,intent_harm,0.5913,0.0315,0.5,154
6,intent_harm,0.5713,0.024,0.5,154
7,intent_harm,0.5579,0.0375,0.5,154
8,intent_harm,0.59,0.0355,0.5,154
9,intent_harm,0.5721,0.0495,0.5,154
10,intent_harm,0.6171,0.0169,0.5,154
11,intent_harm,0.5908,0.0482,0.5,154
12,intent_harm,0.5779,0.045,0.5,154
13,intent_harm,0.6296,0.0691,0.5,154
14,intent_harm,0.6283,0.0498,0.5,154
15,intent_harm,0.6487,0.041,0.5,154
16,intent_harm,0.6558,0.0378,0.5,154
17,intent_harm,0.5967,0.0328,0.5,154
18,intent_harm,0.6362,0.0236,0.5,154
19,intent_harm,0.5908,0.0606,0.5,154
20,intent_harm,0.6358,0.0286,0.5,154
21,intent_harm,0.6167,0.0242,0.5,154
22,intent_harm,0.6496,0.0535,0.5,154
23,intent_harm,0.65,0.0445,0.5,154
24,intent_harm,0.6758,0.0507,0.5,154
25,intent_harm,0.6242,0.0526,0.5,154
26,intent_harm,0.6171,0.0688,0.5,154
27,intent_harm,0.6042,0.0679,0.5,154
28,intent_harm,0.6562,0.0653,0.5,154
29,intent_harm,0.6492,0.0529,0.5,154
30,intent_harm,0.6167,0.0139,0.5,154
31,intent_harm,0.6167,0.0384,0.5,154
32,intent_harm,0.6167,0.0329,0.5,154
0,outcome_innocent,0.6039,0.0337,0.5168,149
1,outcome_innocent,0.852,0.0469,0.5168,149
2,outcome_innocent,0.9731,0.025,0.5168,149
3,outcome_innocent,0.9867,0.0163,0.5168,149
4,outcome_innocent,0.98,0.0267,0.5168,149
5,outcome_innocent,0.9733,0.0249,0.5168,149
6,outcome_innocent,0.9867,0.0163,0.5168,149
7,outcome_innocent,0.9867,0.0163,0.5168,149
8,outcome_innocent,0.9867,0.0163,0.5168,149
9,outcome_innocent,0.98,0.0267,0.5168,149
10,outcome_innocent,0.9867,0.0163,0.5168,149
11,outcome_innocent,0.9867,0.0267,0.5168,149
12,outcome_innocent,0.9867,0.0267,0.5168,149
13,outcome_innocent,0.9867,0.0267,0.5168,149
14,outcome_innocent,0.9933,0.0133,0.5168,149
15,outcome_innocent,0.9933,0.0133,0.5168,149
16,outcome_innocent,0.9933,0.0133,0.5168,149
17,outcome_innocent,0.9933,0.0133,0.5168,149
18,outcome_innocent,0.9933,0.0133,0.5168,149
19,outcome_innocent,0.9933,0.0133,0.5168,149
20,outcome_innocent,0.9933,0.0133,0.5168,149
21,outcome_innocent,0.9933,0.0133,0.5168,149
22,outcome_innocent,0.9933,0.0133,0.5168,149
23,outcome_innocent,0.9933,0.0133,0.5168,149
24,outcome_innocent,0.9933,0.0133,0.5168,149
25,outcome_innocent,0.9933,0.0133,0.5168,149
26,outcome_innocent,0.9933,0.0133,0.5168,149
27,outcome_innocent,0.9933,0.0133,0.5168,149
28,outcome_innocent,0.9933,0.0133,0.5168,149
29,outcome_innocent,0.9933,0.0133,0.5168,149
30,outcome_innocent,0.9933,0.0133,0.5168,149
31,outcome_innocent,0.9933,0.0133,0.5168,149
32,outcome_innocent,0.9933,0.0133,0.5168,149
0,outcome_guilty,0.6039,0.0337,0.5168,149
1,outcome_guilty,0.8657,0.0472,0.5168,149
2,outcome_guilty,0.9662,0.0425,0.5168,149
3,outcome_guilty,0.9867,0.0163,0.5168,149
4,outcome_guilty,0.9933,0.0133,0.5168,149
5,outcome_guilty,0.98,0.0163,0.5168,149
6,outcome_guilty,0.9867,0.0163,0.5168,149
7,outcome_guilty,0.9867,0.0163,0.5168,149
8,outcome_guilty,0.9867,0.0163,0.5168,149
9,outcome_guilty,0.9933,0.0133,0.5168,149
10,outcome_guilty,0.9933,0.0133,0.5168,149
11,outcome_guilty,0.9933,0.0133,0.5168,149
12,outcome_guilty,0.9933,0.0133,0.5168,149
13,outcome_guilty,1.0,0.0,0.5168,149
14,outcome_guilty,1.0,0.0,0.5168,149
15,outcome_guilty,0.9933,0.0133,0.5168,149
16,outcome_guilty,0.9933,0.0133,0.5168,149
17,outcome_guilty,1.0,0.0,0.5168,149
18,outcome_guilty,0.9933,0.0133,0.5168,149
