layer,target,cv_acc,chance,degenerate
0,intent,0.5768,0.5,False
0,outcome,0.8018,0.5168,False
1,intent,0.5736,0.5,False
1,outcome,0.728,0.5168,False
2,intent,0.6006,0.5,False
2,outcome,0.7153,0.5168,False
3,intent,0.5602,0.5,False
3,outcome,0.7149,0.5168,False
4,intent,0.5739,0.5,False
4,outcome,0.7754,0.5168,False
5,intent,0.5738,0.5,False
5,outcome,0.7716,0.5168,False
6,intent,0.5702,0.5,False
6,outcome,0.8017,0.5168,False
7,intent,0.6006,0.5,False
7,outcome,0.8084,0.5168,False
8,intent,0.587,0.5,False
8,outcome,0.8423,0.5168,False
9,intent,0.5805,0.5,False
9,outcome,0.8692,0.5168,False
10,intent,0.6205,0.5,False
10,outcome,0.916,0.5168,False
11,intent,0.61,0.5,False
11,outcome,0.8993,0.5168,False
12,intent,0.5839,0.5,False
12,outcome,0.879,0.5168,False
13,intent,0.6551,0.5,False
13,outcome,0.8721,0.5168,False
14,intent,0.6814,0.5,False
14,outcome,0.9025,0.5168,False
15,intent,0.7017,0.5,False
15,outcome,0.9329,0.5168,False
16,intent,0.6809,0.5,False
16,outcome,0.9161,0.5168,False
17,intent,0.7092,0.5,False
17,outcome,0.9298,0.5168,False
18,intent,0.7186,0.5,False
18,outcome,0.9159,0.5168,False
19,intent,0.7018,0.5,False
19,outcome,0.8924,0.5168,False
20,intent,0.6953,0.5,False
20,outcome,0.8892,0.5168,False
21,intent,0.6517,0.5,False
21,outcome,0.8554,0.5168,False
22,intent,0.6344,0.5,False
22,outcome,0.8123,0.5168,False
23,intent,0.6011,0.5,False
23,outcome,0.8161,0.5168,False
24,intent,0.6078,0.5,False
24,outcome,0.7795,0.5168,False
25,intent,0.6076,0.5,False
25,outcome,0.7928,0.5168,False
26,intent,0.6011,0.5,False
26,outcome,0.7995,0.5168,False
27,intent,0.5808,0.5,False
27,outcome,0.7825,0.5168,False
28,intent,0.5807,0.5,False
28,outcome,0.8025,0.5168,False
