template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.0975,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.0663,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.0916,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.0574,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.1049,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.0789,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.1133,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.0706,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.1669,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.0605,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.1633,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.059,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.0621,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.069,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.0768,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.0664,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.0891,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.0575,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.083,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.0538,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.1252,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.0699,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.1237,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.0699,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.0553,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.0531,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.0682,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.0469,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.1223,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.0777,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.1118,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.0712,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.1149,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.0844,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.1152,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.078,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.0845,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.0601,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.0974,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.0536,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.0963,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.0687,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.1024,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.0601,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.1075,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.0672,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.1012,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.0678,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.1144,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.0675,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.1106,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.0651,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.0948,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.0919,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.092,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.0872,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.1483,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.0624,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.1414,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.0712,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.1571,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.0755,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.1571,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.0657,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.1328,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.1145,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.1554,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.0891,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.0923,1
acceptable7,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.0615,1
acceptable7,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.0908,1
acceptable7,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.0642,1
acceptable7,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.1207,1
acceptable7,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.0833,1
acceptable7,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.1153,1
acceptable7,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.0782,1
acceptable7,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.1027,1
acceptable7,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.0838,1
acceptable7,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.0959,1
acceptable7,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.0893,1
acceptable7,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.0849,1
acceptable7,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.0728,1
acceptable7,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.1141,1
acceptable7,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.0614,1
acceptable7,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.1175,1
acceptable7,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.0907,1
acceptable7,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.1131,1
acceptable7,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.1156,1
acceptable7,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,0.1372,1
acceptable7,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.087,1
