layer,target,cv_acc,chance
0,intent,0.7548275862068965,0.5
0,outcome,0.8926436781609194,0.5167785234899329
1,intent,0.7449425287356322,0.5
1,outcome,0.8958620689655172,0.5167785234899329
2,intent,0.7451724137931035,0.5
2,outcome,0.8891954022988505,0.5167785234899329
3,intent,0.7282758620689656,0.5
3,outcome,0.8757471264367815,0.5167785234899329
4,intent,0.7483908045977012,0.5
4,outcome,0.8957471264367817,0.5167785234899329
5,intent,0.7683908045977011,0.5
5,outcome,0.9089655172413794,0.5167785234899329
6,intent,0.7655172413793103,0.5
6,outcome,0.9290804597701149,0.5167785234899329
7,intent,0.7651724137931034,0.5
7,outcome,0.9426436781609194,0.5167785234899329
8,intent,0.7647126436781608,0.5
8,outcome,0.9390804597701148,0.5167785234899329
9,intent,0.7713793103448277,0.5
9,outcome,0.925632183908046,0.5167785234899329
10,intent,0.7583908045977011,0.5
10,outcome,0.9089655172413794,0.5167785234899329
11,intent,0.7813793103448275,0.5
11,outcome,0.9293103448275861,0.5167785234899329
12,intent,0.8050574712643679,0.5
12,outcome,0.9663218390804598,0.5167785234899329
13,intent,0.8144827586206895,0.5
13,outcome,0.9663218390804598,0.5167785234899329
14,intent,0.8043678160919541,0.5
14,outcome,0.9696551724137932,0.5167785234899329
15,intent,0.8717241379310344,0.5
15,outcome,0.9696551724137932,0.5167785234899329
16,intent,0.8822988505747128,0.5
16,outcome,0.9829885057471264,0.5167785234899329
17,intent,0.8555172413793104,0.5
17,outcome,0.9763218390804598,0.5167785234899329
18,intent,0.8956321839080459,0.5
18,outcome,0.9763218390804598,0.5167785234899329
19,intent,0.872183908045977,0.5
19,outcome,0.9764367816091953,0.5167785234899329
20,intent,0.8522988505747126,0.5
20,outcome,0.9528735632183908,0.5167785234899329
21,intent,0.8788505747126438,0.5
21,outcome,0.9628735632183908,0.5167785234899329
22,intent,0.8650574712643678,0.5
22,outcome,0.9393103448275862,0.5167785234899329
23,intent,0.8349425287356322,0.5
23,outcome,0.9493103448275862,0.5167785234899329
24,intent,0.7983908045977012,0.5
24,outcome,0.909080459770115,0.5167785234899329
25,intent,0.8117241379310345,0.5
25,outcome,0.9024137931034483,0.5167785234899329
26,intent,0.7983908045977012,0.5
26,outcome,0.8991954022988505,0.5167785234899329
27,intent,0.8154022988505748,0.5
27,outcome,0.8789655172413793,0.5167785234899329
28,intent,0.7414942528735632,0.5
28,outcome,0.8722988505747127,0.5167785234899329
