template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.262,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.2658,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.2656,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.2684,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.269,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.2705,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.2859,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.2491,1
acceptable7,YS2008-BAR-accidental,YS2008,accidental,innocent,harm,0.3096,1
acceptable7,YS2008-BAR-attempted,YS2008,attempted,guilty,no_harm,0.2831,1
acceptable7,YS2008-BAR-intentional,YS2008,intentional,guilty,harm,0.3113,1
acceptable7,YS2008-BAR-neutral,YS2008,neutral,innocent,no_harm,0.2705,1
acceptable7,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,0.2577,1
acceptable7,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,0.2546,1
acceptable7,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,0.2618,1
acceptable7,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,0.2409,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.2634,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.2441,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.2667,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.2486,1
acceptable7,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,0.2798,1
acceptable7,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,0.2551,1
acceptable7,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,0.2884,1
acceptable7,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,0.2481,1
acceptable7,YS2008-CAYO-accidental,YS2008,accidental,innocent,harm,0.2805,1
acceptable7,YS2008-CAYO-attempted,YS2008,attempted,guilty,no_harm,0.2556,1
acceptable7,YS2008-CAYO-intentional,YS2008,intentional,guilty,harm,0.2805,1
acceptable7,YS2008-CAYO-neutral,YS2008,neutral,innocent,no_harm,0.2552,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.2805,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.2532,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.2877,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.242,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.2698,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.2366,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.2622,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.2388,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.2821,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.2795,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.289,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.2552,1
acceptable7,YS2008-FRAT-accidental,YS2008,accidental,innocent,harm,0.2837,1
acceptable7,YS2008-FRAT-attempted,YS2008,attempted,guilty,no_harm,0.2629,1
acceptable7,YS2008-FRAT-intentional,YS2008,intentional,guilty,harm,0.2837,1
acceptable7,YS2008-FRAT-neutral,YS2008,neutral,innocent,no_harm,0.2589,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.2799,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.258,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.2809,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.2585,1
acceptable7,YS2008-HAM-accidental,YS2008,accidental,innocent,harm,0.2924,1
acceptable7,YS2008-HAM-attempted,YS2008,attempted,guilty,no_harm,0.2621,1
acceptable7,YS2008-HAM-intentional,YS2008,intentional,guilty,harm,0.2835,1
acceptable7,YS2008-HAM-neutral,YS2008,neutral,innocent,no_harm,0.2726,1
acceptable7,YS2008-HARNESS-accidental,YS2008,accidental,innocent,harm,0.2851,1
acceptable7,YS2008-HARNESS-attempted,YS2008,attempted,guilty,no_harm,0.2514,1
acceptable7,YS2008-HARNESS-intentional,YS2008,intentional,guilty,harm,0.2907,1
acceptable7,YS2008-HARNESS-neutral,YS2008,neutral,innocent,no_harm,0.2481,1
acceptable7,YS2008-HUNT-accidental,YS2008,accidental,innocent,harm,0.2776,1
acceptable7,YS2008-HUNT-attempted,YS2008,attempted,guilty,no_harm,0.2807,1
acceptable7,YS2008-HUNT-intentional,YS2008,intentional,guilty,harm,0.2842,1
acceptable7,YS2008-HUNT-neutral,YS2008,neutral,innocent,no_harm,0.2752,1
acceptable7,YS2008-IGLOO-accidental,YS2008,accidental,innocent,harm,0.2612,1
acceptable7,YS2008-IGLOO-attempted,YS2008,attempted,guilty,no_harm,0.2533,1
acceptable7,YS2008-IGLOO-intentional,YS2008,intentional,guilty,harm,0.2656,1
acceptable7,YS2008-IGLOO-neutral,YS2008,neutral,innocent,no_harm,0.2497,1
acceptable7,YS2008-IRON-accidental,YS2008,accidental,innocent,harm,0.2565,1
acceptable7,YS2008-IRON-attempted,YS2008,attempted,guilty,no_harm,0.2313,1
acceptable7,YS2008-IRON-intentional,YS2008,intentional,guilty,harm,0.2614,1
acceptable7,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,0.2292,1
acceptable7,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,0.3001,1
acceptable7,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,0.282,1
acceptable7,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,0.3027,1
acceptable7,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,0.2765,1
acceptable7,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,0.29,1
acceptable7,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,0.2713,1
acceptable7,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,0.2899,1
acceptable7,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,0.266,1
acceptable7,YS2008-LAPTOP-accidental,YS2008,accidental,innocent,harm,0.29,1
acceptable7,YS2008-LAPTOP-attempted,YS2008,attempted,guilty,no_harm,0.2609,1
acceptable7,YS2008-LAPTOP-intentional,YS2008,intentional,guilty,harm,0.2837,1
acceptable7,YS2008-LAPTOP-neutral,YS2008,neutral,innocent,no_harm,0.2663,1
acceptable7,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,0.2584,1
acceptable7,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,0.2368,1
acceptable7,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,0.2646,1
acceptable7,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,0.2283,1
acceptable7,YS2008-LOGAN AIRPORT-accidental,YS2008,accidental,innocent,harm,0.2787,1
acceptable7,YS2008-LOGAN AIRPORT-attempted,YS2008,attempted,guilty,no_harm,0.2678,1
acceptable7,YS2008-LOGAN AIRPORT-intentional,YS2008,intentional,guilty,harm,0.2787,1
acceptable7,YS2008-LOGAN AIRPORT-neutral,YS2008,neutral,innocent,no_harm,0.2646,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.2614,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.2569,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.2674,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.2448,1
acceptable7,YS2008-MEATLOAF-accidental,YS2008,accidental,innocent,harm,0.2596,1
acceptable7,YS2008-MEATLOAF-attempted,YS2008,attempted,guilty,no_harm,0.2451,1
acceptable7,YS2008-MEATLOAF-intentional,YS2008,intentional,guilty,harm,0.2612,1
acceptable7,YS2008-MEATLOAF-neutral,YS2008,neutral,innocent,no_harm,0.2466,1
acceptable7,YS2008-MOTHER-accidental,YS2008,accidental,innocent,harm,0.2594,1
acceptable7,YS2008-MOTHER-attempted,YS2008,attempted,guilty,no_harm,0.2691,1
acceptable7,YS2008-MOTHER-intentional,YS2008,intentional,guilty,harm,0.2658,1
acceptable7,YS2008-MOTHER-neutral,YS2008,neutral,innocent,no_harm,0.27,1
acceptable7,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,0.2562,1
