layer,target,cv_acc,chance
0,intent,0.5001149425287357,0.5
0,outcome,0.6039080459770115,0.5167785234899329
1,intent,0.6172413793103448,0.5
1,outcome,0.8850574712643677,0.5167785234899329
2,intent,0.6006896551724138,0.5
2,outcome,0.9495402298850575,0.5167785234899329
3,intent,0.6075862068965519,0.5
3,outcome,0.9562068965517241,0.5167785234899329
4,intent,0.5945977011494252,0.5
4,outcome,0.9597701149425287,0.5167785234899329
5,intent,0.6106896551724138,0.5
5,outcome,0.99,0.5167785234899329
6,intent,0.6172413793103448,0.5
6,outcome,0.99,0.5167785234899329
7,intent,0.6241379310344828,0.5
7,outcome,0.9866666666666667,0.5167785234899329
8,intent,0.6310344827586206,0.5
8,outcome,0.9866666666666667,0.5167785234899329
9,intent,0.6439080459770115,0.5
9,outcome,0.9866666666666667,0.5167785234899329
10,intent,0.6272413793103448,0.5
10,outcome,0.9866666666666667,0.5167785234899329
11,intent,0.6642528735632185,0.5
11,outcome,0.9866666666666667,0.5167785234899329
12,intent,0.6642528735632183,0.5
12,outcome,0.99,0.5167785234899329
13,intent,0.6472413793103449,0.5
13,outcome,0.9866666666666667,0.5167785234899329
14,intent,0.6816091954022989,0.5
14,outcome,0.9866666666666667,0.5167785234899329
15,intent,0.6744827586206897,0.5
15,outcome,0.99,0.5167785234899329
16,intent,0.667816091954023,0.5
16,outcome,0.9933333333333334,0.5167785234899329
17,intent,0.670919540229885,0.5
17,outcome,0.9933333333333334,0.5167785234899329
18,intent,0.6306896551724138,0.5
18,outcome,0.9933333333333334,0.5167785234899329
19,intent,0.6579310344827587,0.5
19,outcome,0.9933333333333334,0.5167785234899329
20,intent,0.6506896551724137,0.5
20,outcome,0.9933333333333334,0.5167785234899329
21,intent,0.6474712643678161,0.5
21,outcome,0.9933333333333334,0.5167785234899329
22,intent,0.6409195402298851,0.5
22,outcome,0.9933333333333334,0.5167785234899329
23,intent,0.6306896551724138,0.5
23,outcome,0.9933333333333334,0.5167785234899329
24,intent,0.6174712643678161,0.5
24,outcome,0.99,0.5167785234899329
