layer,target,cv_acc,chance
0,intent,0.5067816091954023,0.5
0,outcome,0.5167816091954023,0.5167785234899329
1,intent,0.5570114942528737,0.5
1,outcome,0.8464367816091954,0.5167785234899329
2,intent,0.5531034482758621,0.5
2,outcome,0.8933333333333333,0.5167785234899329
3,intent,0.5871264367816093,0.5
3,outcome,0.8966666666666667,0.5167785234899329
4,intent,0.5871264367816093,0.5
4,outcome,0.9666666666666666,0.5167785234899329
5,intent,0.6075862068965516,0.5
5,outcome,0.9866666666666667,0.5167785234899329
6,intent,0.6074712643678161,0.5
6,outcome,0.9866666666666667,0.5167785234899329
7,intent,0.6605747126436781,0.5
7,outcome,0.9733333333333334,0.5167785234899329
8,intent,0.6142528735632184,0.5
8,outcome,0.9933333333333334,0.5167785234899329
9,intent,0.647816091954023,0.5
9,outcome,0.9933333333333334,0.5167785234899329
10,intent,0.6713793103448276,0.5
10,outcome,0.9933333333333334,0.5167785234899329
11,intent,0.6919540229885057,0.5
11,outcome,0.9933333333333334,0.5167785234899329
12,intent,0.7320689655172413,0.5
12,outcome,0.9933333333333334,0.5167785234899329
13,intent,0.8127586206896552,0.5
13,outcome,0.9933333333333334,0.5167785234899329
14,intent,0.7683908045977013,0.5
14,outcome,0.9966666666666667,0.5167785234899329
15,intent,0.8227586206896552,0.5
15,outcome,0.9966666666666667,0.5167785234899329
16,intent,0.8195402298850576,0.5
16,outcome,1.0,0.5167785234899329
17,intent,0.859425287356322,0.5
17,outcome,0.9966666666666667,0.5167785234899329
18,intent,0.8727586206896552,0.5
18,outcome,0.9966666666666667,0.5167785234899329
19,intent,0.8863218390804597,0.5
19,outcome,0.9966666666666667,0.5167785234899329
20,intent,0.8158620689655172,0.5
20,outcome,0.9933333333333334,0.5167785234899329
21,intent,0.7586206896551724,0.5
21,outcome,0.9966666666666667,0.5167785234899329
22,intent,0.7447126436781609,0.5
22,outcome,1.0,0.5167785234899329
23,intent,0.7010344827586208,0.5
23,outcome,1.0,0.5167785234899329
24,intent,0.6811494252873562,0.5
24,outcome,0.9966666666666667,0.5167785234899329
25,intent,0.6848275862068965,0.5
25,outcome,1.0,0.5167785234899329
26,intent,0.7081609195402299,0.5
26,outcome,0.9966666666666667,0.5167785234899329
27,intent,0.694712643678161,0.5
27,outcome,0.9933333333333334,0.5167785234899329
28,intent,0.6911494252873565,0.5
28,outcome,0.99,0.5167785234899329
