template,story_id,source,condition,intent_label,outcome_label,mean_norm_blame,n
acceptable7,YS2008-ALARM-accidental,YS2008,accidental,innocent,harm,0.9652,1
acceptable7,YS2008-ALARM-attempted,YS2008,attempted,guilty,no_harm,0.3342,1
acceptable7,YS2008-ALARM-intentional,YS2008,intentional,guilty,harm,0.9285,1
acceptable7,YS2008-ALARM-neutral,YS2008,neutral,innocent,no_harm,0.3214,1
acceptable7,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,0.5938,1
acceptable7,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,0.421,1
acceptable7,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,0.4917,1
acceptable7,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,0.384,1
acceptable7,YS2008-BOUNCY BALL-accidental,YS2008,accidental,innocent,harm,0.971,1
acceptable7,YS2008-BOUNCY BALL-attempted,YS2008,attempted,guilty,no_harm,0.3466,1
acceptable7,YS2008-BOUNCY BALL-intentional,YS2008,intentional,guilty,harm,0.9113,1
acceptable7,YS2008-BOUNCY BALL-neutral,YS2008,neutral,innocent,no_harm,0.273,1
acceptable7,YS2008-CHAIRLIFT-accidental,YS2008,accidental,innocent,harm,0.962,1
acceptable7,YS2008-CHAIRLIFT-attempted,YS2008,attempted,guilty,no_harm,0.5769,1
acceptable7,YS2008-CHAIRLIFT-intentional,YS2008,intentional,guilty,harm,0.9337,1
acceptable7,YS2008-CHAIRLIFT-neutral,YS2008,neutral,innocent,no_harm,0.2575,1
acceptable7,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,0.9993,1
acceptable7,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,0.6073,1
acceptable7,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,0.9996,1
acceptable7,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,0.389,1
acceptable7,YS2008-CPR-accidental,YS2008,accidental,innocent,harm,0.6521,1
acceptable7,YS2008-CPR-attempted,YS2008,attempted,guilty,no_harm,0.6045,1
acceptable7,YS2008-CPR-intentional,YS2008,intentional,guilty,harm,0.2773,1
acceptable7,YS2008-CPR-neutral,YS2008,neutral,innocent,no_harm,0.8468,1
acceptable7,YS2008-FUMIGATION-accidental,YS2008,accidental,innocent,harm,0.9989,1
acceptable7,YS2008-FUMIGATION-attempted,YS2008,attempted,guilty,no_harm,0.5817,1
acceptable7,YS2008-FUMIGATION-intentional,YS2008,intentional,guilty,harm,0.9983,1
acceptable7,YS2008-FUMIGATION-neutral,YS2008,neutral,innocent,no_harm,0.514,1
acceptable7,YS2008-MALARIA POND-accidental,YS2008,accidental,innocent,harm,0.6671,1
acceptable7,YS2008-MALARIA POND-attempted,YS2008,attempted,guilty,no_harm,0.3473,1
acceptable7,YS2008-MALARIA POND-intentional,YS2008,intentional,guilty,harm,0.7427,1
acceptable7,YS2008-MALARIA POND-neutral,YS2008,neutral,innocent,no_harm,0.2956,1
acceptable7,YS2008-RABIES-accidental,YS2008,accidental,innocent,harm,0.9729,1
acceptable7,YS2008-RABIES-attempted,YS2008,attempted,guilty,no_harm,0.5435,1
acceptable7,YS2008-RABIES-intentional,YS2008,intentional,guilty,harm,0.9918,1
acceptable7,YS2008-RABIES-neutral,YS2008,neutral,innocent,no_harm,0.2393,1
acceptable7,YS2008-SEATBELT-accidental,YS2008,accidental,innocent,harm,0.9357,1
acceptable7,YS2008-SEATBELT-attempted,YS2008,attempted,guilty,no_harm,0.4455,1
acceptable7,YS2008-SEATBELT-intentional,YS2008,intentional,guilty,harm,0.8654,1
acceptable7,YS2008-SEATBELT-neutral,YS2008,neutral,innocent,no_harm,0.4107,1
acceptable7,YS2008-SPINACH-accidental,YS2008,accidental,innocent,harm,0.5204,1
acceptable7,YS2008-SPINACH-attempted,YS2008,attempted,guilty,no_harm,0.3382,1
acceptable7,YS2008-SPINACH-intentional,YS2008,intentional,guilty,harm,0.5981,1
acceptable7,YS2008-SPINACH-neutral,YS2008,neutral,innocent,no_harm,0.2592,1
acceptable7,YS2008-SUSHI-accidental,YS2008,accidental,innocent,harm,0.9514,1
acceptable7,YS2008-SUSHI-attempted,YS2008,attempted,guilty,no_harm,0.5435,1
acceptable7,YS2008-SUSHI-intentional,YS2008,intentional,guilty,harm,0.9627,1
acceptable7,YS2008-SUSHI-neutral,YS2008,neutral,innocent,no_harm,0.2854,1
acceptable7,YS2008-TEENAGERS-accidental,YS2008,accidental,innocent,harm,0.9498,1
acceptable7,YS2008-TEENAGERS-attempted,YS2008,attempted,guilty,no_harm,0.5371,1
acceptable7,YS2008-TEENAGERS-intentional,YS2008,intentional,guilty,harm,0.9302,1
acceptable7,YS2008-TEENAGERS-neutral,YS2008,neutral,innocent,no_harm,0.3908,1
acceptable7,YS2008-TREE HOUSE-accidental,YS2008,accidental,innocent,harm,0.9926,1
acceptable7,YS2008-TREE HOUSE-attempted,YS2008,attempted,guilty,no_harm,0.3367,1
acceptable7,YS2008-TREE HOUSE-intentional,YS2008,intentional,guilty,harm,0.9978,1
acceptable7,YS2008-TREE HOUSE-neutral,YS2008,neutral,innocent,no_harm,0.2841,1
acceptable7,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,0.5941,1
acceptable7,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,0.3993,1
acceptable7,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,0.5839,1
acceptable7,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,0.284,1
acceptable7,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,0.8468,1
acceptable7,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,0.3869,1
acceptable7,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,0.9749,1
acceptable7,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,0.411,1
acceptable7,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,0.8292,1
acceptable7,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,0.2849,1
acceptable7,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,0.6919,1
acceptable7,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,0.1954,1
acceptable7,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,0.6797,1
acceptable7,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,0.3688,1
acceptable7,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,0.5017,1
acceptable7,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,0.3314,1
acceptable7,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,0.9575,1
acceptable7,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,0.6885,1
acceptable7,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,0.8718,1
acceptable7,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,0.5196,1
acceptable7,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,0.9978,1
acceptable7,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,0.4097,1
acceptable7,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,0.9995,1
acceptable7,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,0.0963,1
acceptable7,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,0.9107,1
acceptable7,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,0.5208,1
acceptable7,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,0.7208,1
acceptable7,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,0.3009,1
acceptable7,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,0.6402,1
acceptable7,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,0.4739,1
acceptable7,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,0.9892,1
acceptable7,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,0.3501,1
acceptable7,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,1.0,1
acceptable7,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,0.5565,1
acceptable7,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,1.0,1
acceptable7,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,0.3287,1
acceptable7,YS2008-YS2008_12-accidental,YS2008,accidental,innocent,harm,0.7736,1
acceptable7,YS2008-YS2008_12-attempted,YS2008,attempted,guilty,no_harm,0.5473,1
acceptable7,YS2008-YS2008_12-intentional,YS2008,intentional,guilty,harm,0.9425,1
acceptable7,YS2008-YS2008_12-neutral,YS2008,neutral,innocent,no_harm,0.168,1
acceptable7,YS2008-YS2008_13-accidental,YS2008,accidental,innocent,harm,0.996,1
acceptable7,YS2008-YS2008_13-attempted,YS2008,attempted,guilty,no_harm,0.5942,1
acceptable7,YS2008-YS2008_13-intentional,YS2008,intentional,guilty,harm,0.9656,1
acceptable7,YS2008-YS2008_13-neutral,YS2008,neutral,innocent,no_harm,0.6035,1
acceptable7,YS2008-YS2008_14-accidental,YS2008,accidental,innocent,harm,0.8925,1
acceptable7,YS2008-YS2008_14-attempted,YS2008,attempted,guilty,no_harm,0.5049,1
acceptable7,YS2008-YS2008_14-intentional,YS2008,intentional,guilty,harm,0.9294,1
acceptable7,YS2008-YS2008_14-neutral,YS2008,neutral,innocent,no_harm,0.3368,1
acceptable7,YS2008-YS2008_15-accidental,YS2008,accidental,innocent,harm,0.9521,1
acceptable7,YS2008-YS2008_15-attempted,YS2008,attempted,guilty,no_harm,0.1676,1
acceptable7,YS2008-YS2008_15-intentional,YS2008,intentional,guilty,harm,0.9721,1
acceptable7,YS2008-YS2008_15-neutral,YS2008,neutral,innocent,no_harm,0.1742,1
acceptable7,YS2008-YS2008_16-accidental,YS2008,accidental,innocent,harm,0.5085,1
acceptable7,YS2008-YS2008_16-attempted,YS2008,attempted,guilty,no_harm,0.4314,1
acceptable7,YS2008-YS2008_16-intentional,YS2008,intentional,guilty,harm,0.5882,1
acceptable7,YS2008-YS2008_16-neutral,YS2008,neutral,innocent,no_harm,0.1897,1
acceptable7,YS2008-YS2008_17-accidental,YS2008,accidental,innocent,harm,0.8589,1
acceptable7,YS2008-YS2008_17-attempted,YS2008,attempted,guilty,no_harm,0.5318,1
acceptable7,YS2008-YS2008_17-intentional,YS2008,intentional,guilty,harm,0.756,1
acceptable7,YS2008-YS2008_17-neutral,YS2008,neutral,innocent,no_harm,0.3587,1
acceptable7,YS2008-YS2008_18-accidental,YS2008,accidental,innocent,harm,0.974,1
acceptable7,YS2008-YS2008_18-attempted,YS2008,attempted,guilty,no_harm,0.3349,1
acceptable7,YS2008-YS2008_18-intentional,YS2008,intentional,guilty,harm,0.9325,1
acceptable7,YS2008-YS2008_18-neutral,YS2008,neutral,innocent,no_harm,0.1022,1
acceptable7,YS2008-YS2008_19-accidental,YS2008,accidental,innocent,harm,0.8433,1
acceptable7,YS2008-YS2008_19-attempted,YS2008,attempted,guilty,no_harm,0.5027,1
acceptable7,YS2008-YS2008_19-intentional,YS2008,intentional,guilty,harm,0.7402,1
acceptable7,YS2008-YS2008_19-neutral,YS2008,neutral,innocent,no_harm,0.2603,1
acceptable7,YS2008-YS2008_20-accidental,YS2008,accidental,innocent,harm,0.8984,1
acceptable7,YS2008-YS2008_20-attempted,YS2008,attempted,guilty,no_harm,0.2035,1
acceptable7,YS2008-YS2008_20-intentional,YS2008,intentional,guilty,harm,0.7568,1
acceptable7,YS2008-YS2008_20-neutral,YS2008,neutral,innocent,no_harm,0.1043,1
acceptable7,YS2008-YS2008_21-accidental,YS2008,accidental,innocent,harm,0.7143,1
acceptable7,YS2008-YS2008_21-attempted,YS2008,attempted,guilty,no_harm,0.3435,1
acceptable7,YS2008-YS2008_21-intentional,YS2008,intentional,guilty,harm,0.6331,1
acceptable7,YS2008-YS2008_21-neutral,YS2008,neutral,innocent,no_harm,0.2622,1
acceptable7,YS2008-YS2008_22-accidental,YS2008,accidental,innocent,harm,0.9653,1
acceptable7,YS2008-YS2008_22-attempted,YS2008,attempted,guilty,no_harm,0.5834,1
acceptable7,YS2008-YS2008_22-intentional,YS2008,intentional,guilty,harm,0.972,1
acceptable7,YS2008-YS2008_22-neutral,YS2008,neutral,innocent,no_harm,0.3998,1
acceptable7,YS2008-YS2008_24-accidental,YS2008,accidental,innocent,harm,0.9976,1
acceptable7,YS2008-YS2008_24-attempted,YS2008,attempted,guilty,no_harm,0.6328,1
acceptable7,YS2008-YS2008_24-intentional,YS2008,intentional,guilty,harm,0.9984,1
acceptable7,YS2008-YS2008_24-neutral,YS2008,neutral,innocent,no_harm,0.5432,1
acceptable7,YS2008-YS2008_26-accidental,YS2008,accidental,innocent,harm,0.6004,1
acceptable7,YS2008-YS2008_26-attempted,YS2008,attempted,guilty,no_harm,0.5934,1
acceptable7,YS2008-YS2008_26-intentional,YS2008,intentional,guilty,harm,0.6672,1
acceptable7,YS2008-YS2008_26-neutral,YS2008,neutral,innocent,no_harm,0.4789,1
acceptable7,YS2008-YS2008_28-accidental,YS2008,accidental,innocent,harm,0.6039,1
acceptable7,YS2008-YS2008_28-attempted,YS2008,attempted,guilty,no_harm,0.4309,1
acceptable7,YS2008-YS2008_28-intentional,YS2008,intentional,guilty,harm,0.5347,1
acceptable7,YS2008-YS2008_28-neutral,YS2008,neutral,innocent,no_harm,0.3416,1
acceptable7,YS2008-YS2008_30-accidental,YS2008,accidental,innocent,harm,0.654,1
acceptable7,YS2008-YS2008_30-attempted,YS2008,attempted,guilty,no_harm,0.359,1
acceptable7,YS2008-YS2008_30-intentional,YS2008,intentional,guilty,harm,0.6941,1
acceptable7,YS2008-YS2008_30-neutral,YS2008,neutral,innocent,no_harm,0.2889,1
acceptable7,YS2008-YS2008_32-accidental,YS2008,accidental,innocent,harm,0.5999,1
acceptable7,YS2008-YS2008_32-attempted,YS2008,attempted,guilty,no_harm,0.3001,1
acceptable7,YS2008-YS2008_32-intentional,YS2008,intentional,guilty,harm,0.5275,1
acceptable7,YS2008-YS2008_32-neutral,YS2008,neutral,innocent,no_harm,0.1696,1
acceptable7,YS2008-YS2008_34-accidental,YS2008,accidental,innocent,harm,0.9648,1
acceptable7,YS2008-YS2008_34-attempted,YS2008,attempted,guilty,no_harm,0.5851,1
acceptable7,YS2008-YS2008_34-intentional,YS2008,intentional,guilty,harm,0.9927,1
acceptable7,YS2008-YS2008_34-neutral,YS2008,neutral,innocent,no_harm,0.4196,1
acceptable7,YS2008-YS2008_36-accidental,YS2008,accidental,innocent,harm,0.971,1
acceptable7,YS2008-YS2008_36-attempted,YS2008,attempted,guilty,no_harm,0.483,1
acceptable7,YS2008-YS2008_36-intentional,YS2008,intentional,guilty,harm,0.9818,1
acceptable7,YS2008-YS2008_36-neutral,YS2008,neutral,innocent,no_harm,0.3098,1
acceptable7,YS2008-YS2008_38-accidental,YS2008,accidental,innocent,harm,0.9621,1
acceptable7,YS2008-YS2008_38-attempted,YS2008,attempted,guilty,no_harm,0.373,1
acceptable7,YS2008-YS2008_38-intentional,YS2008,intentional,guilty,harm,0.9868,1
acceptable7,YS2008-YS2008_38-neutral,YS2008,neutral,innocent,no_harm,0.1559,1
acceptable7,YS2008-YS2008_40-accidental,YS2008,accidental,innocent,harm,0.6637,1
acceptable7,YS2008-YS2008_40-attempted,YS2008,attempted,guilty,no_harm,0.3581,1
acceptable7,YS2008-YS2008_40-intentional,YS2008,intentional,guilty,harm,0.6547,1
acceptable7,YS2008-YS2008_40-neutral,YS2008,neutral,innocent,no_harm,0.2595,1
acceptable7,YS2008-YS2008_42-accidental,YS2008,accidental,innocent,harm,0.7368,1
acceptable7,YS2008-YS2008_42-attempted,YS2008,attempted,guilty,no_harm,0.9466,1
acceptable7,YS2008-YS2008_42-intentional,YS2008,intentional,guilty,harm,0.6753,1
acceptable7,YS2008-YS2008_42-neutral,YS2008,neutral,innocent,no_harm,0.2957,1
acceptable7,YS2008-YS2008_44-accidental,YS2008,accidental,innocent,harm,0.5455,1
acceptable7,YS2008-YS2008_44-attempted,YS2008,attempted,guilty,no_harm,0.3118,1
acceptable7,YS2008-YS2008_44-intentional,YS2008,intentional,guilty,harm,0.6802,1
acceptable7,YS2008-YS2008_44-neutral,YS2008,neutral,innocent,no_harm,0.1686,1
acceptable7,YS2008-YS2008_46-accidental,YS2008,accidental,innocent,harm,0.528,1
acceptable7,YS2008-YS2008_46-attempted,YS2008,attempted,guilty,no_harm,0.2915,1
acceptable7,YS2008-YS2008_46-intentional,YS2008,intentional,guilty,harm,0.5569,1
acceptable7,YS2008-YS2008_46-neutral,YS2008,neutral,innocent,no_harm,0.1103,1
acceptable7,YS2008-YS2008_48-accidental,YS2008,accidental,innocent,harm,0.8009,1
acceptable7,YS2008-YS2008_48-attempted,YS2008,attempted,guilty,no_harm,0.4236,1
acceptable7,YS2008-YS2008_48-intentional,YS2008,intentional,guilty,harm,0.6045,1
acceptable7,YS2008-YS2008_48-neutral,YS2008,neutral,innocent,no_harm,0.3209,1
acceptable7,YS2008-ZOO-accidental,YS2008,accidental,innocent,harm,0.9605,1
acceptable7,YS2008-ZOO-attempted,YS2008,attempted,guilty,no_harm,0.3621,1
acceptable7,YS2008-ZOO-intentional,YS2008,intentional,guilty,harm,0.8769,1
acceptable7,YS2008-ZOO-neutral,YS2008,neutral,innocent,no_harm,0.2467,1
acceptable7,YS2009-YS2009_01-accidental,YS2009,accidental,innocent,harm,0.9085,1
acceptable7,YS2009-YS2009_01-attempted,YS2009,attempted,guilty,no_harm,0.3529,1
acceptable7,YS2009-YS2009_01-intentional,YS2009,intentional,guilty,harm,0.6966,1
acceptable7,YS2009-YS2009_01-neutral,YS2009,neutral,innocent,no_harm,0.3381,1
acceptable7,YS2009-YS2009_02-accidental,YS2009,accidental,innocent,harm,0.1055,1
acceptable7,YS2009-YS2009_02-attempted,YS2009,attempted,guilty,no_harm,0.4793,1
acceptable7,YS2009-YS2009_02-intentional,YS2009,intentional,guilty,harm,0.2403,1
acceptable7,YS2009-YS2009_02-neutral,YS2009,neutral,innocent,no_harm,0.2744,1
acceptable7,YS2009-YS2009_03-accidental,YS2009,accidental,innocent,harm,0.7977,1
acceptable7,YS2009-YS2009_03-attempted,YS2009,attempted,guilty,no_harm,0.6328,1
acceptable7,YS2009-YS2009_03-intentional,YS2009,intentional,guilty,harm,0.6093,1
acceptable7,YS2009-YS2009_03-neutral,YS2009,neutral,innocent,no_harm,0.5432,1
acceptable7,YS2009-YS2009_04-accidental,YS2009,accidental,innocent,harm,0.6144,1
acceptable7,YS2009-YS2009_04-attempted,YS2009,attempted,guilty,no_harm,0.3472,1
acceptable7,YS2009-YS2009_04-intentional,YS2009,intentional,guilty,harm,0.3566,1
